gene	0.04uM	0.12uM	0.37uM	1.11uM	10uM	3.33uM	
PSME1	11.225	11.5345	11.9127	11.9069	11.5802	11.7479	
CISD1	10.6939	10.5809	10.6258	10.5662	10.7985	10.5889	
VDAC1	6.03885	6.1318	6.7897	6.9922	6.8029	6.2979	
SORBS3	8.02875	8.1155	7.9632	7.4286	7.43195	7.7395	
SPDEF	7.3077	4.95	5.3938	6.2216	6.31985	5.5255	
ATF1	7.53075	8.2553	8.2543	8.0325	6.7529	7.7594	
SPAG4	6.6135	4.5562	4.2806	4.2736	4.06775	4.2655	
E2F2	4.85425	4.4958	4.1661	4.0562	4.19705	4.3105	
RHEB	11.5704	11.5958	11.7186	11.6669	11.2194	11.4887	
IGF1R	7.0372	7.2206	7.3155	7.8646	7.9111	7.1569	
SLC5A6	8.81405	8.4284	7.8976	7.5743	8.0029	8.0661	
FOXO3	5.8263	5.6541	5.6077	5.6788	6.47275	5.4155	
RGS2	7.7699	7.5279	7.579	7.316	5.6364	6.3618	
GSTM2	5.18895	5.7501	6.0251	5.664	5.3618	5.173	
SCYL3	5.3276	6.4281	5.5408	5.05	5.4793	5.8087	
RHOA	8.968	9.677	9.3078	9.1108	8.29505	8.7828	
TBX2	5.2915	5.5382	5.3346	5.1505	5.27875	5.0786	
DNAJA3	13.5808	12.5226	12.6219	13.2457	13.1462	13.3745	
IL1B	5.6765	6.2098	6.3528	7.6411	8.5436	7.6543	
ASAH1	5.7155	6.0125	6.3569	6.9283	6.73745	6.0432	
DCUN1D4	7.44205	7.5234	7.4146	6.7508	6.8414	7.1675	
DYRK3	7.2631	6.7677	7.127	7.3948	7.68595	7.4949	
RALA	8.55585	8.5873	8.8329	8.5127	8.48	8.0767	
ARHGEF12	5.8724	7.0863	6.4886	5.7922	6.32275	6.6569	
POLG2	7.19295	6.5402	7.1065	7.6601	7.4581	6.4617	
SOX2	7.5735	6.6693	6.4239	6.6837	7.56085	6.4771	
TRAPPC3	9.8778	9.8996	10.2475	10.2971	10.3761	10.3491	
SERPINE1	5.20805	4.4419	5.2759	4.1346	4.09465	4.9527	
TCFL5	4.65755	5.8288	4.0261	5.7791	5.0741	4.0803	
CRK	8.9822	9.4931	9.2397	8.888	9.3547	9.1654	
HLA-DMA	6.82505	7.4343	7.3246	7.3373	7.7149	7.4376	
EGF	4.24745	4.3489	4.2189	4.1096	4.13415	4.3489	
RBM34	9.69265	10.1296	10.168	10.4818	10.654	10.3307	
