gene	3hr	24hr	
PSME1	nan	11.6806	
CISD1	nan	11.0741	
VDAC1	nan	8.7064	
SORBS3	nan	9.073	
SPDEF	nan	6.1633	
ATF1	nan	7.3485	
SPAG4	nan	4.3801	
E2F2	nan	4.897	
RHEB	nan	11.4969	
IGF1R	nan	9.0131	
SLC5A6	nan	9.4851	
FOXO3	nan	6.0773	
RGS2	nan	9.2866	
GSTM2	nan	4.6433	
SCYL3	nan	4.0888	
RHOA	nan	9.1207	
TBX2	nan	4.3873	
DNAJA3	nan	12.8759	
IL1B	nan	5.0057	
ASAH1	nan	8.7775	
DCUN1D4	nan	8.7097	
DYRK3	nan	5.746	
RALA	nan	8.0162	
ARHGEF12	nan	6.148	
POLG2	nan	7.2969	
SOX2	nan	6.1074	
TRAPPC3	nan	10.5942	
SERPINE1	nan	7.3339	
TCFL5	nan	4.7	
CRK	nan	9.866	
HLA-DMA	nan	5.0057	
EGF	nan	4.1968	
RBM34	nan	10.0603	
ITGB1BP1	nan	5.2337	
SPTLC2	nan	5.7691	
ACLY	nan	11.6615	
APP	nan	13.0791	
RAD51C	nan	7.9379	
TSKU	nan	9.4225	
SMC1A	nan	9.0212	
TMEM2	nan	9.4162	
NOS3	nan	4.1942	
YME1L1	nan	9.4098	
ACAA1	nan	7.2275	
CSNK1A1	nan	8.4194	
HSPA8	nan	11.4289	
NFATC4	nan	5.3894	
CCNB1	nan	12.1013	
TBP	nan	8.2325	
SLC2A6	nan	9.4454	
WFS1	nan	7.0518	
EZH2	nan	8.2569	
UBE3B	nan	7.8498	
ICAM3	nan	5.624	
NPDC1	nan	9.5046	
ALDH7A1	nan	8.4313	
BRCA1	nan	7.3755	
NFATC3	nan	11.0841	
PSMD4	nan	11.0906	
PCNA	nan	13.7514	
PHKG2	nan	7.0112	
ETV1	nan	5.4534	
POLR2I	nan	10.9842	
KDM5B	nan	6.2996	
PSMB8	nan	8.1607	
AKAP8L	nan	6.1986	
COG4	nan	8.6809	
MCM3	nan	10.2783	
PLEKHJ1	nan	8.5652	
HAT1	nan	9.8178	
TERT	nan	6.3921	
G3BP1	nan	10.8236	
SNX13	nan	7.9563	
PAK4	nan	8.8104	
TPD52L2	nan	7.7511	
DPH2	nan	7.8971	
PIH1D1	nan	7.8695	
PRKCQ	nan	5.7958	
SNX6	nan	10.8785	
EED	nan	7.9937	
SHB	nan	7.4836	
UTP14A	nan	9.6796	
WIPF2	nan	9.1816	
NENF	nan	11.1726	
TSEN2	nan	8.8062	
RPN1	nan	12.1644	
SUV39H1	nan	8.199	
C2CD2L	nan	4.697	
LYPLA1	nan	10.3846	
BIRC2	nan	9.0	
GABPB1	nan	8.4387	
MAP2K5	nan	7.4201	
POLR2K	nan	10.576	
PTK2B	nan	6.5587	
PUF60	nan	12.6669	
DHRS7	nan	10.9489	
PAF1	nan	9.0291	
ARID5B	nan	5.9949	
POLR1C	nan	8.8593	
PAK1	nan	6.2526	
RUVBL1	nan	11.1542	
AKT1	nan	9.9069	
CDC42	nan	10.9394	
IGHMBP2	nan	5.6488	
SENP6	nan	9.1275	
ADO	nan	6.8522	
HSPB1	nan	12.8594	
EBP	nan	8.6318	
TCTN1	nan	7.5145	
AKR7A2	nan	10.6654	
CASK	nan	7.7011	
PPP2R5E	nan	10.0455	
RRP8	nan	6.9776	
LAMA3	nan	6.1418	
PIK3C3	nan	7.8622	
BHLHE40	nan	6.9938	
CCNE2	nan	5.5854	
BDH1	nan	4.3316	
FEZ2	nan	7.2303	
IKBKAP	nan	8.9853	
SH3BP5	nan	8.5865	
PPP2R5A	nan	9.7797	
SGCB	nan	7.3261	
EML3	nan	7.7084	
ENOPH1	nan	10.4749	
BIRC5	nan	11.912	
CNOT4	nan	6.6857	
EPRS	nan	10.9273	
SNAP25	nan	7.3814	
JMJD6	nan	12.0114	
PAX8	nan	4.0228	
CBLB	nan	6.9577	
SLC35F2	nan	8.3296	
ANO10	nan	7.0657	
PDS5A	nan	8.6744	
DFFB	nan	5.5484	
STUB1	nan	12.2713	
PGAM1	nan	12.5044	
TGFB3	nan	4.2912	
BAD	nan	9.1879	
XBP1	nan	8.193	
NMT1	nan	8.1778	
PSMD10	nan	9.6997	
ARFIP2	nan	10.001	
RAB11FIP2	nan	8.5453	
FPGS	nan	8.2455	
STAMBP	nan	9.8931	
PRKX	nan	7.0308	
RNH1	nan	10.4384	
ATG3	nan	8.4002	
FAH	nan	8.796	
NCK1	nan	8.3817	
PLP2	nan	9.5315	
CFLAR	nan	8.4124	
SOX4	nan	6.79	
HEATR1	nan	10.2126	
TESK1	nan	8.0614	
HN1L	nan	9.3645	
WDR7	nan	6.8308	
AKAP8	nan	7.873	
RRAGA	nan	9.5801	
ELOVL6	nan	8.5846	
SLC1A4	nan	5.1043	
ACBD3	nan	7.2338	
GRWD1	nan	8.3879	
PMAIP1	nan	6.2747	
STAT1	nan	9.5881	
FOXJ3	nan	8.3863	
TWF2	nan	9.1255	
HDAC6	nan	8.5262	
MTERFD1	nan	10.4227	
CCND1	nan	6.638	
CHIC2	nan	7.0341	
PXN	nan	11.2435	
USP7	nan	7.1732	
NOSIP	nan	8.2831	
PHKB	nan	8.6335	
DLD	nan	11.7923	
NFKBIB	nan	7.8364	
CASC3	nan	9.4458	
IDE	nan	6.6188	
CD40	nan	8.4002	
MLEC	nan	12.5878	
GLI2	nan	5.9069	
PRPF4	nan	9.0612	
MELK	nan	11.3392	
USP22	nan	12.7305	
DAXX	nan	7.94	
TMED10	nan	11.5231	
CHERP	nan	8.4984	
SMAD3	nan	10.8629	
OXA1L	nan	12.8252	
PIK3CA	nan	7.6465	
SNX7	nan	9.4735	
TRAPPC6A	nan	8.5763	
ATP2C1	nan	8.4269	
CDCA4	nan	7.8421	
TBC1D9B	nan	8.0991	
USP14	nan	6.6768	
APPBP2	nan	6.5568	
CDC20	nan	13.0174	
NARFL	nan	8.57	
RPS6	nan	14.1069	
DDX42	nan	8.9849	
ECH1	nan	12.5346	
HDAC2	nan	9.9932	
IKBKE	nan	5.2134	
CCL2	nan	9.1601	
DFFA	nan	8.7536	
MRPL19	nan	11.6462	
WDTC1	nan	7.2303	
PLSCR3	nan	8.6641	
SUZ12	nan	10.9909	
CSNK2A2	nan	7.984	
H2AFV	nan	7.4627	
NUSAP1	nan	9.8679	
TICAM1	nan	5.7105	
FAM69A	nan	9.9463	
KIAA0100	nan	8.4177	
PAICS	nan	8.452	
SRC	nan	8.4601	
BMP4	nan	5.9948	
CDK2	nan	8.7382	
EDN1	nan	11.2043	
XPO7	nan	9.6296	
FAIM	nan	8.6482	
KIAA0494	nan	9.062	
PXMP2	nan	8.9402	
SQSTM1	nan	13.9398	
HIF1A	nan	12.9753	
TIMM17B	nan	11.9872	
STXBP2	nan	7.4153	
WRB	nan	6.7335	
ETFB	nan	11.6315	
