gene	3hr	24hr	
PSME1	11.7318	10.7465	
CISD1	9.6388	9.46415	
VDAC1	12.6449	13.0865	
SORBS3	7.3416	6.77	
SPDEF	9.43065	7.6448	
ATF1	8.0187	7.4359	
SPAG4	4.2263	4.12625	
E2F2	6.83035	5.84225	
RHEB	13.2625	13.3593	
IGF1R	8.72975	8.79615	
SLC5A6	9.1143	10.5581	
FOXO3	9.55755	10.7731	
RGS2	5.5629	6.4262	
GSTM2	4.9415	4.63625	
SCYL3	4.10015	3.8831	
RHOA	7.81835	7.3624	
TBX2	5.5844	5.26315	
DNAJA3	11.392	14.7868	
IL1B	4.9065	5.36445	
ASAH1	9.44885	8.4034	
DCUN1D4	7.21335	7.31055	
DYRK3	6.0581	6.18665	
RALA	8.58145	7.7341	
ARHGEF12	7.55475	7.69115	
POLG2	6.6268	7.8218	
SOX2	7.4687	8.7988	
TRAPPC3	9.58775	8.59985	
SERPINE1	5.33865	5.2345	
TCFL5	4.64695	3.96735	
CRK	9.70615	9.91235	
HLA-DMA	5.2325	4.97595	
EGF	5.1482	4.72925	
RBM34	10.7233	10.2716	
ITGB1BP1	9.1707	8.9597	
SPTLC2	4.33075	4.10625	
ACLY	9.87725	10.1157	
APP	14.6924	15.0	
RAD51C	7.84075	6.7584	
TSKU	7.87985	7.4436	
SMC1A	9.3475	9.5528	
TMEM2	7.2324	7.61555	
NOS3	5.17055	5.7654	
YME1L1	9.9499	9.8704	
ACAA1	6.9477	7.3193	
CSNK1A1	9.0108	9.13585	
HSPA8	8.55115	6.5655	
NFATC4	6.57645	6.94215	
CCNB1	13.0738	13.4904	
TBP	8.3863	7.98155	
SLC2A6	9.7106	9.5424	
WFS1	8.91155	10.1157	
EZH2	8.45205	8.2929	
UBE3B	7.27775	8.1687	
ICAM3	6.3972	5.4372	
NPDC1	10.9434	11.7043	
ALDH7A1	5.282	4.4345	
BRCA1	5.34915	5.00865	
NFATC3	8.25695	8.97915	
PSMD4	12.4922	12.524	
PCNA	14.642	14.0664	
PHKG2	7.56725	7.3099	
ETV1	5.3247	5.50295	
POLR2I	11.1254	11.1076	
KDM5B	6.4087	6.4164	
PSMB8	10.3159	10.1338	
AKAP8L	6.524	7.27535	
COG4	9.86365	10.1826	
MCM3	10.5366	10.7666	
PLEKHJ1	8.1252	8.8363	
HAT1	8.2368	8.2042	
TERT	6.86085	6.11445	
G3BP1	8.71995	8.3004	
SNX13	8.1233	8.82815	
PAK4	9.9388	10.2171	
TPD52L2	9.2948	10.2227	
DPH2	7.675	7.8344	
PIH1D1	8.18075	8.50155	
PRKCQ	5.61285	6.7009	
SNX6	9.1741	8.80555	
EED	9.0978	9.1884	
SHB	8.06655	9.23615	
UTP14A	9.1418	8.9859	
WIPF2	7.3733	8.10495	
NENF	10.4006	9.91345	
TSEN2	6.9097	6.88395	
RPN1	13.2797	13.6604	
SUV39H1	6.725	6.92085	
C2CD2L	5.95535	6.0134	
LYPLA1	10.387	7.89745	
BIRC2	7.59505	7.0247	
GABPB1	8.49	8.27385	
MAP2K5	7.22395	7.56745	
POLR2K	10.6861	10.2299	
PTK2B	7.22955	7.73045	
PUF60	12.7778	12.1962	
DHRS7	8.4757	8.055	
PAF1	9.78275	10.2526	
ARID5B	6.86425	7.7422	
POLR1C	8.54275	9.03655	
PAK1	6.4585	6.4601	
RUVBL1	11.1352	11.0821	
AKT1	10.496	10.8815	
CDC42	9.68145	9.78835	
IGHMBP2	6.60905	5.78515	
SENP6	8.6384	8.477	
ADO	6.30885	10.4015	
HSPB1	13.9627	14.7248	
EBP	7.9048	7.2391	
TCTN1	6.29595	6.83185	
AKR7A2	10.7645	10.272	
CASK	7.16285	6.78665	
PPP2R5E	9.6049	10.2385	
RRP8	6.55765	6.20585	
LAMA3	5.299	4.6837	
PIK3C3	6.7884	6.28465	
BHLHE40	4.5591	6.302	
CCNE2	7.67875	5.99395	
BDH1	7.14355	6.53485	
FEZ2	5.9822	5.9445	
IKBKAP	8.5176	8.54565	
SH3BP5	9.4693	9.5145	
PPP2R5A	9.33305	9.6134	
SGCB	4.44835	4.8599	
EML3	7.26505	8.4711	
ENOPH1	10.6562	9.46865	
BIRC5	11.3689	11.0544	
CNOT4	8.0112	7.5229	
EPRS	9.87105	9.7842	
SNAP25	7.13405	4.40175	
JMJD6	8.918	8.9794	
PAX8	4.9901	3.57315	
CBLB	7.0127	6.24385	
SLC35F2	6.1248	6.69995	
ANO10	6.35045	6.36305	
PDS5A	9.06755	9.2207	
DFFB	5.97415	6.143	
STUB1	12.5656	13.4068	
PGAM1	12.6423	9.2144	
TGFB3	6.05325	5.7841	
BAD	7.00425	7.9451	
XBP1	8.63655	8.96325	
NMT1	7.39385	8.6668	
PSMD10	10.8519	8.7625	
ARFIP2	9.73985	9.32915	
RAB11FIP2	6.66805	7.3108	
FPGS	8.48165	8.47995	
STAMBP	9.72965	9.5142	
PRKX	6.34955	6.7517	
RNH1	10.9508	11.9738	
ATG3	9.59985	9.6321	
FAH	8.34975	8.1899	
NCK1	9.6207	8.4701	
PLP2	6.86015	7.62645	
CFLAR	7.0032	7.7222	
SOX4	7.92525	7.07615	
HEATR1	10.1013	11.5267	
TESK1	8.56575	10.0111	
HN1L	9.86975	9.51355	
WDR7	6.068	6.40605	
AKAP8	7.8187	7.6568	
RRAGA	8.19795	8.20785	
ELOVL6	6.7987	6.81085	
SLC1A4	5.66595	5.704	
ACBD3	8.75955	7.8775	
GRWD1	7.97155	8.19685	
PMAIP1	5.6459	5.97505	
STAT1	9.24875	9.8543	
FOXJ3	8.5195	7.1737	
TWF2	8.35495	8.3915	
HDAC6	7.14715	7.47625	
MTERFD1	9.72695	10.6135	
CCND1	6.2997	7.2073	
CHIC2	7.63885	7.6624	
PXN	12.3515	12.8097	
USP7	6.6751	6.27385	
NOSIP	8.9896	8.30685	
PHKB	10.9212	10.671	
DLD	10.7437	10.6776	
NFKBIB	7.6019	7.45675	
CASC3	7.5571	7.7058	
IDE	5.61535	5.1876	
CD40	8.6564	10.841	
MLEC	11.3391	11.9921	
GLI2	5.5876	4.1336	
PRPF4	7.89295	7.8099	
MELK	10.8315	11.2054	
USP22	13.0068	13.6416	
DAXX	8.9676	8.81715	
TMED10	11.0377	10.5935	
CHERP	9.2618	9.1331	
SMAD3	8.1217	9.00235	
OXA1L	11.2276	12.0396	
PIK3CA	8.40925	9.2111	
SNX7	8.27135	9.2836	
TRAPPC6A	8.97625	8.55995	
ATP2C1	8.85025	9.52115	
CDCA4	7.49585	7.0734	
TBC1D9B	8.05805	8.88125	
USP14	7.2786	8.20725	
APPBP2	4.71215	4.55675	
CDC20	13.7877	14.2491	
NARFL	7.23945	7.6237	
RPS6	15.0	15.0002	
DDX42	7.87885	7.6522	
ECH1	11.1025	11.5888	
HDAC2	11.1679	11.5205	
IKBKE	5.12525	4.8403	
CCL2	6.67555	6.0392	
DFFA	9.06785	9.966	
MRPL19	11.5145	11.2516	
WDTC1	6.6217	7.1707	
PLSCR3	9.074	10.4895	
SUZ12	9.79485	9.77375	
CSNK2A2	7.21965	7.77225	
H2AFV	8.16595	7.18835	
NUSAP1	11.7929	11.6127	
TICAM1	6.8949	7.07875	
FAM69A	9.33105	9.49565	
KIAA0100	8.50615	9.03725	
PAICS	8.12135	7.50275	
SRC	6.7047	5.88365	
BMP4	6.3877	8.5191	
CDK2	9.3687	10.1924	
EDN1	9.88465	9.8947	
XPO7	8.90165	10.5906	
FAIM	8.6163	8.53835	
KIAA0494	9.25815	10.1019	
PXMP2	9.4309	8.99565	
SQSTM1	12.794	13.0177	
HIF1A	13.871	14.0588	
TIMM17B	10.2929	10.8271	
STXBP2	7.62245	8.1677	
WRB	8.19665	7.19765	
ETFB	10.763	11.1986	
MNAT1	8.26	8.812	
CAMSAP2	8.9918	10.7628	
HPRT1	12.4958	11.5961	
ARNT2	10.8777	13.3848	
RRS1	7.34915	7.4183	
ADAT1	7.81405	8.4398	
SPAG7	10.0374	9.84855	
MAPK1IP1L	8.47275	8.795	
SCAND1	11.603	12.226	
MFSD10	9.4375	10.8531	
MSH6	10.4278	10.4666	
COPS7A	10.1586	10.4628	
UBE2C	13.2015	13.5065	
FIS1	6.14735	5.1678	
HS2ST1	5.81025	6.18395	
NUDT9	8.5481	8.47875	
TXLNA	10.6054	11.2574	
CSRP1	12.7556	12.2664	
DNAJB1	9.91905	10.8508	
METRN	7.644	8.1944	
TOPBP1	8.7617	9.00095	
ABCF1	10.8106	11.4293	
TCTA	8.92535	9.27165	
LGMN	8.0317	7.93925	
TLK2	7.95155	6.64635	
KIAA1033	7.5176	5.7878	
PTGS2	3.8837	4.769	
DNAJB6	11.8289	12.8337	
PLA2G4A	10.102	11.5275	
MAT2A	11.1704	12.1553	
TLR4	4.8053	4.89925	
HMGCS1	10.831	10.3783	
MBTPS1	8.59465	9.0028	
SPRED2	8.4884	9.53675	
ZNF274	8.3218	8.0304	
CLIC4	11.4667	12.1772	
MAP7	7.95255	7.6667	
CHAC1	8.3389	9.2939	
EIF4G1	9.01075	9.66675	
BTK	4.56955	9.0045	
GNAS	14.1214	9.03	
MYL9	10.2241	10.0512	
TEX10	8.4444	8.3832	
PSMD2	12.1782	13.0908	
ZNF586	5.5615	5.96675	
CLTC	10.9732	11.6439	
IKZF1	4.89165	5.3292	
APBB2	6.51225	6.934	
HSD17B10	10.3165	10.3851	
RNF167	10.531	10.9635	
STX1A	6.8186	6.4477	
ALDOA	10.6521	10.7565	
EPHA3	5.5446	6.0677	
STAT5B	4.59095	4.1246	
TXNDC9	8.04025	6.332	
CCNA2	10.3829	10.3386	
VGLL4	9.015	9.3929	
CASP10	7.02645	8.8058	
SDHB	11.9407	12.2885	
ETS1	7.2333	6.99345	
YTHDF1	8.89805	8.36875	
FOXO4	5.1709	5.34185	
LSM5	12.6161	12.9473	
TOMM34	9.98435	10.5282	
ZMYM2	10.2255	9.84995	
CHMP6	5.8728	5.6472	
KIAA0907	8.48065	9.16495	
CASP7	6.2666	6.206	
HK1	6.88105	6.6368	
PAPD7	10.3312	11.5156	
PIGB	8.9227	9.1529	
CHEK2	7.55295	7.7171	
PLOD3	10.4216	10.7695	
ACD	10.6094	8.7397	
TRAK2	6.7631	7.19425	
SUPV3L1	10.0367	11.2151	
VAPB	9.33825	9.55525	
GPATCH8	6.13025	6.654	
HSPD1	11.1554	12.2072	
BUB1B	10.6256	11.2048	
TGFBR2	7.50275	7.84895	
MRPL12	11.9665	12.0262	
NOTCH1	8.27345	10.0274	
PNP	11.097	11.0564	
SHC1	9.9504	10.961	
ARPP19	8.9444	8.80855	
CEBPA	5.20175	5.26795	
PSMF1	7.63235	8.5352	
RTN2	10.1551	11.1624	
NPEPL1	7.7142	8.2425	
USP1	7.78725	7.74125	
RPA1	12.0859	11.9963	
SIRT3	5.77555	5.65185	
KLHDC2	9.79345	9.92675	
UBQLN2	7.5	7.91475	
DMTF1	7.91285	7.1372	
SCARB1	7.9498	6.5244	
CLPX	8.344	7.7975	
TPM1	11.3071	11.5676	
TM9SF2	8.2181	8.60095	
TXNL4B	6.9796	7.76995	
ATF6	8.70845	8.7128	
PRR15L	5.10805	6.1378	
NUP88	11.2148	11.2799	
ST6GALNAC2	6.5954	8.1515	
ADH5	6.0807	6.95145	
FUT1	7.45105	6.8651	
GOLT1B	9.53625	9.52375	
PRUNE	4.6923	5.23495	
PPOX	7.96855	9.01265	
SYPL1	10.8825	10.8694	
CANT1	9.1611	11.0366	
ZNF451	8.74885	8.33335	
HOMER2	6.54235	7.11	
RALB	10.1888	10.6639	
CLTB	12.3982	12.7371	
TRIM13	7.66235	8.01025	
FBXO7	8.01615	7.75645	
PHKA1	6.3451	6.4311	
CYCS	10.2238	10.2479	
PPARD	6.794	6.76615	
ENOSF1	5.41225	5.36095	
MAP4K4	7.9973	4.81	
PAN2	5.6816	4.1113	
STAT3	4.52505	4.7443	
LIG1	9.84135	9.6915	
PPIC	8.77555	8.9517	
EIF5	10.6087	10.0793	
GNB5	7.92225	8.16845	
GNAI1	4.8315	6.63605	
INSIG1	11.4868	10.2956	
DNMT3A	9.1212	9.4193	
TM9SF3	7.1157	7.84815	
CCDC86	9.4518	10.2421	
HIST2H2BE	8.135	7.5924	
S100A4	6.32455	5.52795	
SLC25A14	6.8276	5.1876	
KTN1	10.3493	11.3451	
TBXA2R	6.60285	6.66985	
ARHGAP1	9.61915	9.39135	
FBXO11	6.24715	5.5668	
HERPUD1	9.47725	9.07515	
LPAR2	8.67555	9.25975	
COASY	7.6687	7.6819	
RPL39L	6.0941	5.5674	
BPHL	7.428	6.88235	
RASA1	7.58185	7.79845	
ATMIN	9.0539	9.31025	
MAPKAPK3	7.7727	7.46115	
CASP3	10.387	9.8453	
MBOAT7	12.5336	13.8942	
PNKP	8.64615	8.53555	
PSME2	14.1144	13.6071	
NISCH	7.43425	7.3551	
SLC35A3	6.61585	5.98275	
CPSF4	9.5189	9.49385	
LSR	9.17075	10.4175	
COPB2	10.6936	11.3622	
MEF2C	6.2474	6.01065	
GADD45A	10.6557	10.2845	
KDM5A	8.7599	7.72525	
FAM63A	6.4876	6.8434	
SMNDC1	8.15505	8.26345	
NUDCD3	9.0677	9.20255	
RAB4A	7.77855	7.8478	
FGFR2	7.8856	9.5352	
IFRD2	11.5257	10.5907	
BACE2	10.9188	11.242	
HMGCR	8.5462	8.0753	
LYN	6.49625	6.72035	
SLC35B1	9.42155	9.23275	
ISOC1	7.63025	8.8802	
TIMP2	8.3861	9.0115	
DUSP3	8.271	7.2412	
LSM6	7.1208	6.38685	
CALM3	7.6643	7.39625	
MOK	5.26625	5.3349	
PPP1R13B	7.1291	8.0628	
SACM1L	9.13455	9.65415	
DNAJB2	9.16585	9.36665	
TCERG1	10.0877	10.3638	
CERK	7.1833	7.4628	
KIAA0196	9.18815	9.60705	
DNM1	4.27015	4.693	
LAP3	8.8445	11.7815	
DDIT4	7.50525	7.44535	
MAPKAPK5	7.44435	8.36225	
ALAS1	10.6877	11.775	
HDGFRP3	5.56955	5.1989	
PAFAH1B1	9.3208	10.0744	
PRKCH	6.4204	6.6363	
PSRC1	10.9214	11.4214	
RAB21	7.66155	8.3761	
ERO1L	8.83795	7.83405	
PSIP1	7.5927	9.68005	
APOE	6.84355	6.2064	
CREB1	6.19225	4.90975	
MBNL2	10.962	11.4883	
RBM15B	8.88275	8.6254	
PACSIN3	6.94165	7.68965	
TOMM70A	9.56705	9.6421	
CBR1	10.2197	10.9878	
MTA1	11.8883	9.8998	
MACF1	8.0167	9.3498	
PRKCD	8.86575	9.15585	
CCNA1	6.17595	6.03585	
PIK3R4	7.5773	7.66695	
CSNK1E	9.2528	9.63655	
HIST1H2BK	11.8167	11.945	
JUN	8.28795	9.195	
PCCB	10.7611	9.3326	
STAP2	7.3654	7.8576	
TMEM50A	9.0322	9.00305	
PMM2	10.89	12.0713	
SCCPDH	5.21295	5.2459	
HSD17B11	8.13615	8.2239	
TSC22D3	9.9155	9.95515	
FBXL12	7.44425	7.54465	
TFAP2A	10.1285	11.7217	
WDR61	9.9332	9.69725	
ZNF395	9.5473	10.2999	
FAS	4.8855	4.7325	
VPS72	8.2898	8.325	
CENPE	7.69525	7.88765	
CLSTN1	9.863	10.1545	
CREG1	9.5372	11.7356	
