gene	0.04uM	0.12uM	0.37uM	1.11uM	10uM	3.33uM	
PSME1	10.3825	10.1875	10.9818	10.7465	10.5163	10.7542	
CISD1	10.0746	10.0034	9.34465	9.46415	10.0839	9.3096	
VDAC1	12.306	12.8855	13.0101	13.0865	12.6885	13.0348	
SORBS3	6.37465	6.4482	6.38395	6.77	6.5441	6.57615	
SPDEF	8.20605	7.8861	7.93295	7.6448	8.2083	7.7027	
ATF1	6.65175	7.4091	6.9615	7.4359	6.578	7.28725	
SPAG4	4.67175	4.9435	5.48065	4.12625	3.9129	4.2208	
E2F2	5.49035	6.1193	5.4762	5.84225	5.6535	9.39955	
RHEB	13.3046	13.2488	13.5927	13.3593	13.3899	13.6488	
IGF1R	8.4112	8.91175	10.0001	8.79615	8.7942	8.42095	
SLC5A6	10.178	10.9098	9.8582	10.5581	10.4566	10.9636	
FOXO3	10.8666	10.9378	10.9634	10.7731	11.1202	10.9007	
RGS2	6.63275	6.83645	5.2111	6.4262	4.9109	6.3103	
GSTM2	4.31535	4.1726	4.29635	4.63625	4.7202	4.13905	
SCYL3	4.7565	3.08415	3.2494	3.8831	3.9722	3.7056	
RHOA	7.6961	7.2835	7.56535	7.3624	7.4256	7.8151	
TBX2	4.9001	5.4178	4.90945	5.26315	5.3657	6.15185	
DNAJA3	14.8651	14.5602	14.5303	14.7868	15.0001	13.0264	
IL1B	5.40005	5.5172	5.2589	5.36445	5.318	4.77315	
ASAH1	7.83925	8.3636	8.26585	8.4034	8.2454	7.77155	
DCUN1D4	7.39665	8.0603	8.04125	7.31055	7.3643	7.39775	
DYRK3	7.0429	7.20155	6.4372	6.18665	7.2144	5.71205	
RALA	7.24645	8.0118	7.95975	7.7341	7.8454	8.05115	
ARHGEF12	7.7702	7.45275	7.70245	7.69115	8.3817	8.77845	
POLG2	7.91535	6.033	6.2277	7.8218	6.7414	7.34795	
SOX2	8.70895	7.87065	9.0948	8.7988	8.9354	6.518	
TRAPPC3	8.68035	9.113	6.66995	8.59985	7.8542	9.72955	
SERPINE1	5.1756	5.0561	4.98985	5.2345	5.1798	3.70545	
TCFL5	3.749	4.13845	4.19505	3.96735	3.7911	6.51805	
CRK	9.47045	9.7229	9.94165	9.91235	9.4564	10.1406	
HLA-DMA	5.40445	5.562	5.3026	4.97595	5.457	4.83475	
EGF	5.21905	5.5916	4.8042	4.72925	4.3668	6.761	
RBM34	9.61305	10.2843	10.3533	10.2716	10.482	9.957	
ITGB1BP1	7.6205	8.88635	9.0466	8.9597	8.7253	8.67295	
SPTLC2	5.0191	3.99855	4.21015	4.10625	4.0174	4.22415	
ACLY	9.85985	9.58095	9.85375	10.1157	10.0953	10.2158	
APP	15.0002	15.0	15.0002	15.0	15.0004	14.8904	
RAD51C	7.712	7.29325	7.4537	6.7584	7.6586	7.4106	
TSKU	7.54715	7.907	7.1589	7.4436	8.7526	8.31665	
SMC1A	8.29475	10.1592	9.069	9.5528	9.7192	9.2131	
TMEM2	7.42565	7.31155	8.5813	7.61555	7.0839	7.7658	
NOS3	5.38995	5.83605	5.73355	5.7654	4.7341	5.03775	
YME1L1	9.6749	9.55955	9.62875	9.8704	9.4616	10.3323	
ACAA1	6.2933	7.04155	6.93365	7.3193	7.0287	6.90235	
CSNK1A1	9.0143	8.93945	9.19255	9.13585	8.9076	9.33045	
HSPA8	8.08295	9.4502	9.6711	6.5655	10.0836	9.9019	
NFATC4	6.3623	6.55495	6.0262	6.94215	6.5864	5.52565	
CCNB1	13.6291	13.6902	13.4489	13.4904	13.6402	13.5231	
TBP	7.7805	7.9426	7.97225	7.98155	7.7673	7.5749	
SLC2A6	10.7281	9.66605	10.4245	9.5424	10.2962	9.7856	
WFS1	8.49245	8.7507	9.3454	10.1157	8.5828	10.5289	
EZH2	8.0942	7.92035	8.4207	8.2929	7.4883	8.1257	
UBE3B	8.9415	8.30185	8.1421	8.1687	8.3896	8.30995	
ICAM3	4.727	5.0052	5.0987	5.4372	5.3516	5.4832	
NPDC1	10.937	11.1969	11.3009	11.7043	11.8707	11.7629	
ALDH7A1	4.6495	4.0724	5.1295	4.4345	5.2352	4.38065	
BRCA1	4.565	5.1054	4.79025	5.00865	6.0097	5.3293	
NFATC3	8.85115	8.76415	8.35235	8.97915	8.8128	10.0704	
PSMD4	11.7265	12.4093	12.4198	12.524	12.2428	12.4293	
PCNA	14.1107	14.2428	14.45	14.0664	14.1026	14.2491	
PHKG2	7.10725	7.2302	7.52845	7.3099	7.2203	6.7244	
ETV1	5.2192	5.6106	5.4675	5.50295	5.6842	5.5817	
POLR2I	10.6569	10.6171	10.9503	11.1076	10.4503	10.7509	
KDM5B	6.40175	6.2717	6.1048	6.4164	6.0027	6.72435	
PSMB8	9.64055	9.9297	10.4524	10.1338	10.0953	10.3046	
AKAP8L	6.58965	8.2155	6.8209	7.27535	6.9865	7.23655	
COG4	10.0413	10.3698	10.096	10.1826	9.9419	10.5561	
MCM3	10.8342	11.1698	10.6244	10.7666	10.0459	10.737	
PLEKHJ1	9.1236	9.6749	9.30375	8.8363	8.5179	8.88265	
HAT1	9.66545	9.04495	9.357	8.2042	9.7655	7.83375	
TERT	6.8253	6.94555	6.74335	6.11445	6.592	6.96115	
G3BP1	8.44865	8.3797	8.1794	8.3004	8.5443	7.70695	
SNX13	9.16195	8.3487	8.4773	8.82815	9.1012	8.6267	
PAK4	10.3118	10.3017	9.845	10.2171	10.0193	10.2959	
TPD52L2	10.1933	9.80385	10.8887	10.2227	10.4309	10.7573	
DPH2	6.7138	7.09655	7.07355	7.8344	7.1433	6.9155	
PIH1D1	9.42845	9.42455	8.9447	8.50155	9.5062	9.55515	
PRKCQ	6.33365	6.23665	5.40815	6.7009	5.6319	6.9946	
SNX6	8.4802	8.74515	8.7026	8.80555	8.7835	9.4154	
EED	8.8273	8.95165	8.70025	9.1884	8.6213	8.8585	
SHB	10.1521	9.336	8.83225	9.23615	10.0332	7.7137	
UTP14A	8.0081	7.58405	7.7562	8.9859	8.7396	8.52185	
WIPF2	8.19015	8.67345	8.42025	8.10495	8.025	8.3721	
NENF	9.52135	9.4482	9.8813	9.91345	10.033	9.97585	
TSEN2	7.03605	6.87685	6.94665	6.88395	7.0287	7.22545	
RPN1	13.3177	13.3633	13.8687	13.6604	13.7332	13.3556	
SUV39H1	6.2995	6.6198	6.5352	6.92085	6.9281	7.2213	
C2CD2L	7.11395	5.88835	4.7677	6.0134	5.8902	4.96725	
LYPLA1	7.10605	9.0262	8.6585	7.89745	9.6412	10.2573	
BIRC2	6.3282	6.40315	6.99185	7.0247	6.8251	7.0002	
GABPB1	7.719	7.80925	8.5709	8.27385	8.2164	8.0268	
MAP2K5	7.755	7.2652	7.62555	7.56745	8.1955	7.88585	
POLR2K	9.0032	9.5813	10.1735	10.2299	10.6613	9.76	
PTK2B	7.9204	8.24075	6.8224	7.73045	7.8728	7.4362	
PUF60	12.2405	11.8709	9.7082	12.1962	12.209	12.506	
DHRS7	8.15115	8.3843	8.9597	8.055	8.692	8.6735	
PAF1	10.0059	10.1226	10.2285	10.2526	10.8155	9.79515	
ARID5B	8.3121	7.56995	7.3681	7.7422	7.2317	6.8882	
POLR1C	8.7918	8.6069	8.7935	9.03655	8.6635	8.46655	
PAK1	6.6406	6.76265	6.59645	6.4601	6.246	6.8683	
RUVBL1	10.9981	10.6826	10.883	11.0821	10.8591	11.4137	
AKT1	11.0384	10.8556	11.1826	10.8815	10.6115	10.7393	
CDC42	9.67995	9.70295	10.0069	9.78835	9.6707	9.74855	
IGHMBP2	6.15515	7.08235	6.2039	5.78515	6.4885	6.03	
SENP6	8.62265	8.64985	8.31155	8.477	9.0264	9.04385	
ADO	6.0177	5.9198	6.44775	10.4015	5.999	5.9355	
HSPB1	14.4359	14.7248	14.6466	14.7248	14.2378	14.9	
EBP	6.38955	6.35905	6.85865	7.2391	7.6011	6.6339	
TCTN1	5.92145	6.10065	6.006	6.83185	5.7885	5.2262	
AKR7A2	10.6727	10.4307	10.8174	10.272	10.7377	10.8419	
CASK	6.61715	6.5382	6.64515	6.78665	6.8309	7.0292	
PPP2R5E	10.9948	10.3961	10.1693	10.2385	10.3786	9.92345	
RRP8	6.2919	6.36975	6.1487	6.20585	6.3502	6.43185	
LAMA3	3.97045	4.08855	4.0826	4.6837	4.6528	4.72765	
PIK3C3	6.096	6.70605	6.01135	6.28465	6.603	5.92075	
BHLHE40	5.383	4.8374	5.31595	6.302	5.2268	5.0459	
CCNE2	4.8402	5.78185	5.9857	5.99395	4.2687	5.0831	
BDH1	6.9388	6.72525	6.71805	6.53485	6.3763	6.809	
FEZ2	5.6194	5.6115	4.8664	5.9445	5.8725	5.6288	
IKBKAP	8.13725	8.20415	7.99785	8.54565	8.4611	8.76845	
SH3BP5	9.01735	9.7734	9.42055	9.5145	9.7186	9.67115	
PPP2R5A	10.0111	9.43315	9.7526	9.6134	9.6985	10.2957	
SGCB	4.4883	4.2006	5.9757	4.8599	4.3689	9.79385	
EML3	7.48785	8.0627	7.38265	8.4711	7.3556	7.4856	
ENOPH1	9.8271	10.5475	10.8157	9.46865	10.2005	10.4476	
BIRC5	10.9392	10.3454	11.0541	11.0544	11.0864	11.9091	
CNOT4	7.79735	7.178	7.96795	7.5229	8.3233	7.9047	
EPRS	9.5059	9.8489	9.8464	9.7842	10.1429	10.015	
SNAP25	5.1197	4.84	4.3485	4.40175	3.9405	4.38435	
JMJD6	9.15805	8.12705	6.82125	8.9794	9.876	9.6225	
PAX8	4.03805	6.6745	4.73665	3.57315	4.3241	4.6073	
CBLB	6.31325	5.8254	6.1123	6.24385	7.6948	6.8083	
SLC35F2	6.72075	7.77125	6.7431	6.69995	6.1113	6.476	
ANO10	6.21275	6.2135	6.4374	6.36305	6.5674	6.5665	
PDS5A	9.0707	9.05855	9.38995	9.2207	9.657	9.6361	
DFFB	7.0367	7.10685	6.7343	6.143	6.2933	5.8562	
STUB1	9.66485	13.0503	13.2824	13.4068	13.0761	13.506	
PGAM1	12.5905	12.9737	12.7227	9.2144	12.3199	12.7852	
TGFB3	5.28345	5.7265	6.33485	5.7841	5.6484	6.51265	
BAD	7.36655	8.08395	9.1391	7.9451	8.342	8.7587	
XBP1	8.47545	8.4993	7.62905	8.96325	9.094	8.40895	
NMT1	8.6716	8.4722	8.3358	8.6668	8.2085	8.2597	
PSMD10	9.4596	8.6215	8.42065	8.7625	10.1996	9.3472	
ARFIP2	9.4404	8.86435	8.964	9.32915	8.5961	9.51295	
RAB11FIP2	6.8401	6.5385	5.84245	7.3108	5.5529	5.80725	
FPGS	9.06445	8.82145	8.6176	8.47995	8.664	8.7887	
STAMBP	9.38755	8.77455	9.53455	9.5142	9.4551	9.7302	
PRKX	7.7637	6.76335	7.5931	6.7517	7.2796	5.8431	
RNH1	11.9436	11.927	11.7455	11.9738	11.3195	12.0201	
ATG3	8.18785	9.5546	10.1615	9.6321	8.9496	9.66605	
FAH	8.4907	8.1534	8.0243	8.1899	9.1933	8.3828	
NCK1	8.8487	9.687	9.7816	8.4701	7.7887	9.6718	
PLP2	8.2965	7.6234	7.8022	7.62645	7.8979	6.86575	
CFLAR	7.8591	8.09185	7.6027	7.7222	8.0736	7.44645	
SOX4	7.0785	6.4909	6.5951	7.07615	5.4629	7.60405	
HEATR1	10.9299	11.0602	10.5341	11.5267	10.6495	10.7929	
TESK1	11.1269	10.7397	10.0358	10.0111	11.5954	8.79405	
HN1L	9.36915	9.56885	9.94375	9.51355	9.3639	9.87645	
WDR7	7.0171	6.61755	6.7944	6.40605	6.9961	5.865	
AKAP8	7.46725	8.3654	7.57415	7.6568	7.4535	7.66615	
RRAGA	8.6231	8.38695	8.57485	8.20785	8.4415	8.39045	
ELOVL6	6.8536	6.2398	6.85835	6.81085	6.91	6.53155	
SLC1A4	4.9173	4.93025	5.63405	5.704	5.1162	5.1088	
ACBD3	8.00645	8.085	8.05825	7.8775	7.8236	7.8343	
GRWD1	7.9147	7.813	7.6892	8.19685	6.9047	8.92395	
PMAIP1	5.77955	6.69925	6.09985	5.97505	6.0677	5.96425	
STAT1	9.49	9.942	9.75465	9.8543	9.4326	9.70835	
FOXJ3	7.77105	7.3771	7.86325	7.1737	7.907	8.4261	
TWF2	7.8564	8.3841	8.39315	8.3915	8.1801	8.29265	
HDAC6	6.9864	6.88	7.21985	7.47625	7.1414	7.3231	
MTERFD1	11.2812	11.0204	10.1887	10.6135	11.8445	9.0379	
CCND1	6.0983	7.17555	6.16435	7.2073	6.3315	6.96905	
