gene	3hr	24hr	
PSME1	nan	12.1342	
CISD1	nan	11.0667	
VDAC1	nan	6.9709	
SORBS3	nan	9.0732	
SPDEF	nan	6.452	
ATF1	nan	7.7993	
SPAG4	nan	4.7168	
E2F2	nan	4.7753	
RHEB	nan	11.7801	
IGF1R	nan	7.4923	
SLC5A6	nan	8.2439	
FOXO3	nan	7.6315	
RGS2	nan	5.1857	
GSTM2	nan	4.8104	
SCYL3	nan	3.7497	
RHOA	nan	9.867	
TBX2	nan	4.8262	
DNAJA3	nan	13.9223	
IL1B	nan	6.6319	
ASAH1	nan	6.7823	
DCUN1D4	nan	6.6168	
DYRK3	nan	6.7965	
RALA	nan	8.4559	
ARHGEF12	nan	7.5785	
POLG2	nan	6.2813	
SOX2	nan	5.7683	
TRAPPC3	nan	11.1457	
SERPINE1	nan	11.3713	
TCFL5	nan	5.1701	
CRK	nan	9.521	
HLA-DMA	nan	4.4572	
EGF	nan	6.3726	
RBM34	nan	9.1633	
ITGB1BP1	nan	9.9389	
SPTLC2	nan	5.9394	
ACLY	nan	11.0583	
APP	nan	13.7548	
RAD51C	nan	6.6631	
TSKU	nan	5.9407	
SMC1A	nan	9.1829	
TMEM2	nan	9.8703	
NOS3	nan	4.4073	
YME1L1	nan	9.674	
ACAA1	nan	6.192	
CSNK1A1	nan	8.429	
HSPA8	nan	11.62	
NFATC4	nan	6.751	
CCNB1	nan	12.8469	
TBP	nan	7.8316	
SLC2A6	nan	11.0448	
WFS1	nan	7.906	
EZH2	nan	8.5907	
UBE3B	nan	8.0998	
ICAM3	nan	5.0202	
NPDC1	nan	6.9223	
ALDH7A1	nan	8.4802	
BRCA1	nan	6.5275	
NFATC3	nan	10.1676	
PSMD4	nan	10.1936	
PCNA	nan	13.9853	
PHKG2	nan	7.6315	
ETV1	nan	4.3765	
POLR2I	nan	9.3949	
KDM5B	nan	6.9605	
PSMB8	nan	9.3902	
AKAP8L	nan	6.8975	
COG4	nan	8.2339	
MCM3	nan	11.4227	
PLEKHJ1	nan	9.9157	
HAT1	nan	10.1119	
TERT	nan	6.4261	
G3BP1	nan	11.1039	
SNX13	nan	8.871	
PAK4	nan	8.1733	
TPD52L2	nan	8.5585	
DPH2	nan	8.1928	
PIH1D1	nan	7.7489	
PRKCQ	nan	5.8201	
SNX6	nan	10.827	
EED	nan	7.8938	
SHB	nan	8.7919	
UTP14A	nan	8.6568	
WIPF2	nan	9.0371	
NENF	nan	10.0672	
TSEN2	nan	7.1032	
RPN1	nan	13.0865	
SUV39H1	nan	7.7062	
C2CD2L	nan	5.2609	
LYPLA1	nan	8.5148	
BIRC2	nan	9.6384	
GABPB1	nan	8.4781	
MAP2K5	nan	6.9702	
POLR2K	nan	9.9327	
PTK2B	nan	6.5989	
PUF60	nan	12.6202	
DHRS7	nan	9.1123	
PAF1	nan	9.4876	
ARID5B	nan	9.2958	
POLR1C	nan	8.7648	
PAK1	nan	6.2541	
RUVBL1	nan	10.8357	
AKT1	nan	10.6222	
CDC42	nan	11.8819	
IGHMBP2	nan	6.231	
SENP6	nan	9.2461	
ADO	nan	7.0648	
HSPB1	nan	12.7471	
EBP	nan	8.2737	
TCTN1	nan	6.4436	
AKR7A2	nan	11.1926	
CASK	nan	6.6251	
PPP2R5E	nan	10.9018	
RRP8	nan	6.3688	
LAMA3	nan	7.9353	
PIK3C3	nan	8.8975	
BHLHE40	nan	6.8363	
CCNE2	nan	6.8752	
BDH1	nan	6.0432	
FEZ2	nan	5.4216	
IKBKAP	nan	9.1477	
SH3BP5	nan	8.4019	
PPP2R5A	nan	8.7591	
SGCB	nan	8.7073	
EML3	nan	7.6075	
ENOPH1	nan	10.6457	
BIRC5	nan	12.7558	
CNOT4	nan	6.3576	
EPRS	nan	10.4654	
SNAP25	nan	4.5516	
JMJD6	nan	11.5263	
PAX8	nan	10.3865	
CBLB	nan	6.2057	
SLC35F2	nan	9.0314	
ANO10	nan	7.5074	
PDS5A	nan	8.9999	
DFFB	nan	6.3917	
STUB1	nan	12.8768	
PGAM1	nan	13.3831	
TGFB3	nan	5.909	
BAD	nan	8.4532	
XBP1	nan	9.1873	
NMT1	nan	8.8156	
PSMD10	nan	8.8108	
ARFIP2	nan	10.3294	
RAB11FIP2	nan	7.1234	
FPGS	nan	9.4194	
STAMBP	nan	8.8092	
PRKX	nan	6.0194	
RNH1	nan	10.5956	
ATG3	nan	8.4573	
FAH	nan	7.4709	
NCK1	nan	8.5834	
PLP2	nan	9.6013	
CFLAR	nan	8.231	
SOX4	nan	5.8675	
HEATR1	nan	9.0693	
TESK1	nan	9.6101	
HN1L	nan	10.2139	
WDR7	nan	6.8286	
AKAP8	nan	8.7223	
RRAGA	nan	9.7302	
ELOVL6	nan	7.7408	
SLC1A4	nan	5.8061	
ACBD3	nan	7.5867	
GRWD1	nan	6.4649	
PMAIP1	nan	7.0859	
STAT1	nan	8.8527	
FOXJ3	nan	8.9604	
TWF2	nan	9.7525	
HDAC6	nan	7.8938	
MTERFD1	nan	9.6639	
CCND1	nan	5.6041	
CHIC2	nan	8.3685	
PXN	nan	12.1101	
USP7	nan	6.6952	
NOSIP	nan	7.8317	
PHKB	nan	8.1273	
DLD	nan	10.8137	
NFKBIB	nan	6.2698	
CASC3	nan	9.2279	
IDE	nan	5.1348	
CD40	nan	10.1782	
MLEC	nan	12.5708	
GLI2	nan	6.1476	
PRPF4	nan	7.8457	
MELK	nan	12.3385	
USP22	nan	13.2302	
DAXX	nan	8.928	
TMED10	nan	10.978	
CHERP	nan	8.9041	
SMAD3	nan	8.8527	
OXA1L	nan	11.4722	
PIK3CA	nan	9.5128	
SNX7	nan	9.8093	
TRAPPC6A	nan	7.9612	
ATP2C1	nan	9.62	
CDCA4	nan	7.8263	
TBC1D9B	nan	7.4682	
USP14	nan	8.0753	
APPBP2	nan	7.6656	
CDC20	nan	14.033	
NARFL	nan	8.9631	
RPS6	nan	14.4905	
DDX42	nan	8.6552	
ECH1	nan	9.8209	
HDAC2	nan	10.9878	
IKBKE	nan	5.6249	
CCL2	nan	9.3523	
DFFA	nan	9.7796	
MRPL19	nan	10.5977	
WDTC1	nan	7.9517	
PLSCR3	nan	9.597	
SUZ12	nan	10.7691	
CSNK2A2	nan	8.0753	
H2AFV	nan	8.8111	
NUSAP1	nan	11.3087	
TICAM1	nan	7.2515	
FAM69A	nan	10.3921	
KIAA0100	nan	7.5379	
PAICS	nan	8.5195	
SRC	nan	5.9194	
BMP4	nan	6.5635	
CDK2	nan	10.3118	
EDN1	nan	9.5141	
XPO7	nan	9.9254	
FAIM	nan	8.3516	
KIAA0494	nan	9.7343	
PXMP2	nan	10.2933	
SQSTM1	nan	12.109	
HIF1A	nan	13.5297	
TIMM17B	nan	10.8402	
STXBP2	nan	7.7801	
WRB	nan	6.9801	
ETFB	nan	10.0123	
MNAT1	nan	8.2411	
CAMSAP2	nan	9.8493	
HPRT1	nan	10.2987	
ARNT2	nan	11.2541	
RRS1	nan	7.7812	
ADAT1	nan	7.4682	
SPAG7	nan	10.2228	
MAPK1IP1L	nan	10.0253	
SCAND1	nan	9.9758	
MFSD10	nan	10.6753	
MSH6	nan	11.0627	
COPS7A	nan	10.8958	
UBE2C	nan	11.3483	
FIS1	nan	8.6016	
HS2ST1	nan	5.9703	
NUDT9	nan	8.8352	
TXLNA	nan	11.7966	
CSRP1	nan	14.7766	
DNAJB1	nan	9.4948	
METRN	nan	6.5515	
TOPBP1	nan	9.5327	
ABCF1	nan	11.0262	
TCTA	nan	9.7656	
LGMN	nan	9.4798	
TLK2	nan	8.8881	
KIAA1033	nan	9.3936	
PTGS2	nan	3.9866	
DNAJB6	nan	10.7787	
PLA2G4A	nan	11.1806	
MAT2A	nan	12.283	
TLR4	nan	5.4023	
HMGCS1	nan	11.3163	
MBTPS1	nan	8.1358	
SPRED2	nan	10.1517	
ZNF274	nan	8.344	
CLIC4	nan	14.0835	
MAP7	nan	4.5155	
CHAC1	nan	9.0426	
EIF4G1	nan	8.254	
BTK	nan	3.4802	
GNAS	nan	13.6611	
MYL9	nan	12.8475	
TEX10	nan	8.8547	
PSMD2	nan	13.0302	
ZNF586	nan	5.465	
CLTC	nan	11.8759	
IKZF1	nan	4.4749	
APBB2	nan	7.1319	
HSD17B10	nan	10.2294	
RNF167	nan	9.9615	
STX1A	nan	7.1083	
ALDOA	nan	9.8311	
EPHA3	nan	5.2405	
STAT5B	nan	4.8998	
TXNDC9	nan	9.7201	
CCNA2	nan	10.9305	
VGLL4	nan	8.0396	
CASP10	nan	6.2981	
SDHB	nan	11.4881	
ETS1	nan	7.9948	
YTHDF1	nan	7.3788	
FOXO4	nan	6.4426	
LSM5	nan	11.8529	
TOMM34	nan	9.277	
ZMYM2	nan	9.3575	
CHMP6	nan	6.0054	
KIAA0907	nan	9.159	
CASP7	nan	8.8287	
HK1	nan	8.2419	
PAPD7	nan	10.1245	
PIGB	nan	8.2001	
CHEK2	nan	7.433	
PLOD3	nan	11.9537	
ACD	nan	8.4193	
TRAK2	nan	8.2317	
SUPV3L1	nan	9.9482	
VAPB	nan	7.9113	
GPATCH8	nan	7.1618	
HSPD1	nan	10.4009	
BUB1B	nan	11.284	
TGFBR2	nan	6.7773	
MRPL12	nan	12.4183	
NOTCH1	nan	8.0571	
PNP	nan	10.2981	
SHC1	nan	9.0461	
ARPP19	nan	8.7522	
CEBPA	nan	3.534	
PSMF1	nan	8.9052	
RTN2	nan	9.8919	
NPEPL1	nan	7.8844	
USP1	nan	9.0472	
RPA1	nan	11.8925	
SIRT3	nan	4.9038	
KLHDC2	nan	10.8137	
UBQLN2	nan	8.2616	
DMTF1	nan	7.3699	
SCARB1	nan	8.0323	
CLPX	nan	8.1033	
TPM1	nan	14.9158	
TM9SF2	nan	9.1725	
TXNL4B	nan	8.2368	
ATF6	nan	8.8975	
PRR15L	nan	5.8293	
NUP88	nan	11.135	
