gene	0.04uM	0.12uM	0.37uM	1.11uM	10uM	3.33uM	
PSME1	11.7196	11.7295	11.8468	12.1342	12.1855	11.8925	
CISD1	10.5203	10.171	10.5633	11.0667	11.2491	11.3087	
VDAC1	6.7169	7.0543	6.7503	6.9709	7.3965	7.121	
SORBS3	9.01425	9.6321	9.2017	9.0732	8.6692	9.0281	
SPDEF	7.1273	5.9602	6.349	6.452	7.5074	7.0097	
ATF1	6.9248	7.7338	7.2193	7.7993	6.9101	6.7566	
SPAG4	4.73975	4.4224	4.9986	4.7168	4.3077	4.7297	
E2F2	4.8213	4.6517	5.0891	4.7753	5.3345	5.1082	
RHEB	11.8076	11.5346	12.0998	11.7801	11.6276	11.9837	
IGF1R	7.1621	8.0715	7.4741	7.4923	5.8293	6.3917	
SLC5A6	7.21475	7.8395	7.4851	8.2439	7.9139	7.8844	
FOXO3	7.97835	7.8289	7.9245	7.6315	7.6434	7.892	
RGS2	6.6734	5.2084	5.4395	5.1857	6.9669	5.1176	
GSTM2	4.54525	4.7402	4.5793	4.8104	4.3833	4.2188	
SCYL3	4.16435	3.8441	4.3533	3.7497	3.948	3.8822	
RHOA	9.39395	9.597	9.5215	9.867	8.4071	9.1377	
TBX2	7.18065	4.4193	4.2797	4.8262	4.6397	4.6387	
DNAJA3	14.0583	12.3166	13.6773	13.9223	14.9976	14.3889	
IL1B	5.97945	6.1374	6.2241	6.6319	8.4325	6.8808	
ASAH1	6.96955	6.8606	6.6517	6.7823	7.408	7.1828	
DCUN1D4	6.30595	7.5545	7.0051	6.6168	6.9488	7.0382	
DYRK3	7.1481	6.2373	6.6088	6.7965	7.1572	7.3111	
RALA	8.6312	8.6299	8.6337	8.4559	8.4734	8.3727	
ARHGEF12	5.1678	7.5238	7.3831	7.5785	6.9235	5.9204	
POLG2	6.5461	7.5467	6.4949	6.2813	6.0523	6.6298	
SOX2	6.12325	5.7028	5.7715	5.7683	6.8864	6.2241	
TRAPPC3	10.9749	11.0218	11.0667	11.1457	10.9598	11.0083	
SERPINE1	11.3146	11.7481	11.4748	11.3713	7.6031	10.3294	
TCFL5	4.39495	4.7701	4.5516	5.1701	4.4926	4.8149	
CRK	9.2346	9.9438	9.3773	9.521	8.7166	9.3857	
HLA-DMA	4.6473	4.6612	5.1014	4.4572	4.6783	4.3451	
EGF	7.2714	6.9801	6.9844	6.3726	5.0905	5.8147	
RBM34	9.4548	9.8453	9.7028	9.1633	9.9456	9.7656	
ITGB1BP1	9.9392	9.5671	9.9727	9.9389	9.4103	9.7905	
SPTLC2	5.86665	7.5648	6.4307	5.9394	4.7402	5.8994	
ACLY	10.8419	11.4223	11.1638	11.0583	10.9412	11.0262	
APP	13.708	13.5432	13.7548	13.7548	14.0316	13.7548	
RAD51C	6.95695	6.9564	5.692	6.6631	6.8407	6.8899	
TSKU	4.81705	6.0518	6.6815	5.9407	4.7073	4.8883	
SMC1A	9.69635	9.3105	9.6268	9.1829	9.136	9.1631	
TMEM2	9.7963	9.9913	9.7905	9.8703	9.4725	9.7302	
NOS3	4.5631	4.1811	4.4375	4.4073	4.6079	4.5987	
YME1L1	9.2411	9.545	9.8121	9.674	9.0801	9.4227	
ACAA1	6.877	8.2001	6.5343	6.192	5.9772	6.5393	
CSNK1A1	8.27455	8.7529	8.4837	8.429	8.376	8.1958	
HSPA8	11.3795	11.7801	11.2699	11.62	10.3606	10.8558	
NFATC4	6.3777	6.6319	6.4916	6.751	7.533	6.5764	
CCNB1	12.7863	12.8081	12.949	12.8469	12.8524	13.0302	
TBP	7.94465	8.1862	8.2226	7.8316	7.8203	7.5956	
SLC2A6	10.9484	10.7787	10.7604	11.0448	11.4824	11.3913	
WFS1	8.14395	7.7611	8.2439	7.906	7.8832	7.9748	
EZH2	8.76545	7.9139	8.7065	8.5907	8.5719	8.5738	
UBE3B	7.9254	8.6134	7.7329	8.0998	8.1887	7.9416	
ICAM3	4.4236	5.5405	4.8983	5.0202	4.4287	4.2426	
NPDC1	7.7328	7.3301	7.2912	6.9223	7.83	7.8769	
ALDH7A1	8.3835	8.3671	8.4573	8.4802	9.0482	8.3927	
BRCA1	6.1324	6.516	6.6321	6.5275	6.1708	6.6128	
NFATC3	8.1519	10.4009	7.896	10.1676	9.6639	9.5103	
PSMD4	8.11685	10.4179	7.896	10.1936	9.6669	9.5491	
PCNA	14.1189	13.8273	13.9223	13.9853	13.9223	14.083	
PHKG2	7.775	7.3111	7.7896	7.6315	7.8229	7.8289	
ETV1	4.40885	4.2426	4.6296	4.3765	6.0183	4.8718	
POLR2I	9.5187	9.8239	9.4347	9.3949	9.3575	9.4207	
KDM5B	6.3898	6.8191	6.9101	6.9605	6.3782	6.279	
PSMB8	9.0731	9.3661	9.4849	9.3902	10.2408	9.6754	
AKAP8L	7.24525	6.2867	6.9814	6.8975	7.2031	7.5402	
COG4	8.14075	8.3727	8.221	8.2339	8.1928	8.0692	
MCM3	11.2433	11.2332	11.3823	11.4227	11.6027	11.2351	
PLEKHJ1	9.8316	9.6924	10.0947	9.9157	9.8573	10.2109	
HAT1	9.6675	10.1543	9.6947	10.1119	9.7126	9.7223	
TERT	6.77575	6.002	6.5708	6.4261	7.8229	7.0455	
G3BP1	10.7021	11.0825	10.7419	11.1039	9.6811	10.2866	
SNX13	8.7982	7.0784	8.7919	8.871	8.4382	8.9078	
PAK4	8.40985	7.7338	7.9353	8.1733	8.3727	8.5427	
TPD52L2	7.8549	8.3004	8.293	8.5585	7.7113	7.6673	
DPH2	7.9353	7.9385	8.2393	8.1928	7.1828	7.5477	
PIH1D1	8.09835	8.5014	8.231	7.7489	8.9012	8.5475	
PRKCQ	5.6869	5.4523	5.5151	5.8201	6.6377	6.0906	
SNX6	9.9749	10.6736	10.2361	10.827	10.5663	10.049	
EED	7.74455	8.1328	8.1887	7.8938	7.9193	8.1391	
SHB	9.69185	7.7944	8.928	8.7919	10.5977	10.1119	
UTP14A	8.11385	8.4517	8.9135	8.6568	8.4894	8.1119	
WIPF2	9.12855	8.6401	8.3685	9.0371	8.626	8.9914	
NENF	9.6074	9.7813	10.0342	10.0672	10.1782	9.8454	
TSEN2	8.0114	7.4926	7.6218	7.1032	7.932	7.8944	
RPN1	13.1229	13.0927	13.0865	13.0865	12.7695	12.9173	
SUV39H1	7.73985	8.231	8.018	7.7062	7.5708	7.4389	
C2CD2L	5.3711	5.1059	5.7356	5.2609	5.6276	6.6857	
LYPLA1	6.39125	9.1433	8.0197	8.5148	7.3345	7.7879	
BIRC2	9.60065	9.5936	9.643	9.6384	8.293	9.5327	
GABPB1	8.39935	8.639	8.7622	8.4781	7.5746	8.3127	
