gene	3hr	24hr	
PSME1	nan	10.0641	
CISD1	nan	11.2132	
VDAC1	nan	8.6868	
SORBS3	nan	4.8435	
SPDEF	nan	8.3875	
ATF1	nan	9.4578	
SPAG4	nan	4.8195	
E2F2	nan	4.6162	
RHEB	nan	11.8089	
IGF1R	nan	5.794	
SLC5A6	nan	8.8182	
FOXO3	nan	5.5689	
RGS2	nan	11.1281	
GSTM2	nan	4.1822	
SCYL3	nan	6.228	
RHOA	nan	8.014	
TBX2	nan	4.4419	
DNAJA3	nan	13.9281	
IL1B	nan	6.3821	
ASAH1	nan	9.0387	
DCUN1D4	nan	7.6518	
DYRK3	nan	6.8125	
RALA	nan	8.4932	
ARHGEF12	nan	6.1389	
POLG2	nan	7.3228	
SOX2	nan	7.0591	
TRAPPC3	nan	10.817	
SERPINE1	nan	4.0871	
TCFL5	nan	6.2171	
CRK	nan	8.2832	
HLA-DMA	nan	5.7078	
EGF	nan	4.5594	
RBM34	nan	10.8648	
ITGB1BP1	nan	9.9722	
SPTLC2	nan	4.7994	
ACLY	nan	9.5941	
APP	nan	13.5828	
RAD51C	nan	7.4928	
TSKU	nan	6.2501	
SMC1A	nan	10.2893	
TMEM2	nan	9.029	
NOS3	nan	4.5033	
YME1L1	nan	8.5427	
ACAA1	nan	6.3787	
CSNK1A1	nan	7.2419	
HSPA8	nan	11.0185	
NFATC4	nan	6.5335	
CCNB1	nan	12.4375	
TBP	nan	7.9206	
SLC2A6	nan	7.9832	
WFS1	nan	7.3984	
EZH2	nan	9.2552	
UBE3B	nan	8.621	
ICAM3	nan	5.9362	
NPDC1	nan	11.8898	
ALDH7A1	nan	7.6109	
BRCA1	nan	6.591	
NFATC3	nan	10.655	
PSMD4	nan	10.6654	
PCNA	nan	13.3177	
PHKG2	nan	7.209	
ETV1	nan	6.0789	
POLR2I	nan	9.7039	
KDM5B	nan	7.1433	
PSMB8	nan	8.6978	
AKAP8L	nan	6.5604	
COG4	nan	9.1067	
MCM3	nan	10.6502	
PLEKHJ1	nan	8.6399	
HAT1	nan	9.9788	
TERT	nan	6.282	
G3BP1	nan	10.5105	
SNX13	nan	8.6353	
PAK4	nan	7.8035	
TPD52L2	nan	8.0385	
DPH2	nan	8.677	
PIH1D1	nan	7.5808	
PRKCQ	nan	5.2085	
SNX6	nan	10.3669	
EED	nan	7.5763	
SHB	nan	9.9166	
UTP14A	nan	8.5704	
WIPF2	nan	8.811	
NENF	nan	11.2431	
TSEN2	nan	7.7326	
RPN1	nan	13.0416	
SUV39H1	nan	8.0701	
C2CD2L	nan	4.945	
LYPLA1	nan	9.249	
BIRC2	nan	9.1217	
GABPB1	nan	7.9947	
MAP2K5	nan	7.4139	
POLR2K	nan	10.5514	
PTK2B	nan	8.544	
PUF60	nan	12.153	
DHRS7	nan	11.4572	
PAF1	nan	8.2043	
ARID5B	nan	7.3655	
POLR1C	nan	9.36	
PAK1	nan	4.9245	
RUVBL1	nan	10.846	
AKT1	nan	10.481	
CDC42	nan	11.0768	
IGHMBP2	nan	9.4119	
SENP6	nan	8.6164	
ADO	nan	7.2046	
HSPB1	nan	12.3963	
EBP	nan	8.7345	
TCTN1	nan	7.9184	
AKR7A2	nan	10.0054	
CASK	nan	7.4134	
PPP2R5E	nan	9.7723	
RRP8	nan	6.1875	
LAMA3	nan	6.034	
PIK3C3	nan	7.9652	
BHLHE40	nan	8.0489	
CCNE2	nan	6.6353	
BDH1	nan	6.9779	
FEZ2	nan	6.1629	
IKBKAP	nan	9.319	
SH3BP5	nan	6.6713	
PPP2R5A	nan	10.7343	
SGCB	nan	6.2701	
EML3	nan	7.8548	
ENOPH1	nan	11.1496	
BIRC5	nan	12.0399	
CNOT4	nan	7.2308	
EPRS	nan	10.8511	
SNAP25	nan	4.1394	
JMJD6	nan	11.6951	
PAX8	nan	5.4765	
CBLB	nan	5.7294	
SLC35F2	nan	9.0809	
ANO10	nan	5.7705	
PDS5A	nan	9.7175	
DFFB	nan	6.0266	
STUB1	nan	12.2378	
PGAM1	nan	12.4861	
TGFB3	nan	6.1956	
BAD	nan	8.2603	
XBP1	nan	9.7944	
NMT1	nan	8.1098	
PSMD10	nan	9.7747	
ARFIP2	nan	10.1357	
RAB11FIP2	nan	8.1334	
FPGS	nan	8.1686	
STAMBP	nan	9.6313	
PRKX	nan	6.056	
RNH1	nan	9.0452	
ATG3	nan	9.111	
FAH	nan	6.334	
NCK1	nan	9.3655	
PLP2	nan	9.7195	
CFLAR	nan	7.7522	
SOX4	nan	7.5839	
HEATR1	nan	9.1942	
TESK1	nan	8.7557	
HN1L	nan	7.7704	
WDR7	nan	7.0008	
AKAP8	nan	7.8256	
RRAGA	nan	8.3597	
ELOVL6	nan	6.8854	
SLC1A4	nan	4.9688	
ACBD3	nan	7.0603	
GRWD1	nan	7.5915	
PMAIP1	nan	5.8962	
STAT1	nan	8.6847	
FOXJ3	nan	9.6633	
TWF2	nan	7.8279	
HDAC6	nan	7.9369	
MTERFD1	nan	9.9317	
CCND1	nan	7.4504	
CHIC2	nan	7.6809	
PXN	nan	12.2643	
USP7	nan	6.0612	
NOSIP	nan	6.9982	
PHKB	nan	8.3667	
DLD	nan	11.7173	
NFKBIB	nan	5.8207	
CASC3	nan	9.0996	
IDE	nan	6.1108	
CD40	nan	10.0176	
MLEC	nan	11.6706	
GLI2	nan	5.4399	
PRPF4	nan	8.2618	
MELK	nan	10.8789	
USP22	nan	11.8571	
DAXX	nan	8.0107	
TMED10	nan	12.4159	
CHERP	nan	8.7791	
SMAD3	nan	7.9267	
OXA1L	nan	9.6424	
PIK3CA	nan	8.9992	
SNX7	nan	9.7837	
TRAPPC6A	nan	7.7326	
ATP2C1	nan	9.2334	
CDCA4	nan	8.6944	
TBC1D9B	nan	8.362	
USP14	nan	7.5695	
APPBP2	nan	7.5697	
CDC20	nan	13.7378	
NARFL	nan	9.1825	
RPS6	nan	14.5656	
DDX42	nan	8.6591	
ECH1	nan	11.2555	
HDAC2	nan	9.7189	
IKBKE	nan	5.5244	
CCL2	nan	11.7928	
DFFA	nan	9.4576	
MRPL19	nan	10.5641	
WDTC1	nan	7.333	
PLSCR3	nan	7.0762	
SUZ12	nan	10.7872	
CSNK2A2	nan	7.9514	
H2AFV	nan	8.3177	
NUSAP1	nan	10.772	
TICAM1	nan	6.5762	
FAM69A	nan	10.9017	
KIAA0100	nan	8.2126	
PAICS	nan	8.1115	
SRC	nan	4.4419	
BMP4	nan	7.7286	
CDK2	nan	9.8911	
EDN1	nan	7.906	
XPO7	nan	7.7961	
FAIM	nan	8.8824	
KIAA0494	nan	10.2341	
PXMP2	nan	9.0549	
SQSTM1	nan	13.0824	
HIF1A	nan	13.5494	
TIMM17B	nan	12.4623	
STXBP2	nan	7.7854	
WRB	nan	8.4885	
ETFB	nan	10.2781	
MNAT1	nan	9.0426	
CAMSAP2	nan	10.709	
HPRT1	nan	11.6115	
ARNT2	nan	12.6583	
RRS1	nan	7.1163	
ADAT1	nan	7.4753	
SPAG7	nan	9.2552	
MAPK1IP1L	nan	9.5152	
SCAND1	nan	10.6291	
MFSD10	nan	9.9243	
MSH6	nan	10.1941	
COPS7A	nan	12.4353	
UBE2C	nan	5.127	
FIS1	nan	10.2828	
HS2ST1	nan	6.762	
NUDT9	nan	9.4234	
TXLNA	nan	11.9479	
CSRP1	nan	13.6779	
DNAJB1	nan	9.7378	
METRN	nan	5.8293	
TOPBP1	nan	8.9326	
