gene	0.04uM	0.12uM	0.37uM	1.11uM	10uM	3.33uM	
PSME1	9.8349	10.0899	10.0519	10.0641	9.8275	9.9862	
CISD1	11.1407	11.3728	11.543	11.2132	10.8622	11.2013	
VDAC1	8.47275	8.4657	9.0943	8.6868	9.2837	8.8539	
SORBS3	4.40245	4.6538	4.0871	4.8435	4.5033	4.2758	
SPDEF	8.45445	8.3047	8.1909	8.3875	7.7173	8.2179	
ATF1	8.9165	9.1322	9.6367	9.4578	9.4234	9.3908	
SPAG4	6.70905	4.9925	4.6922	4.8195	5.0543	4.9775	
E2F2	4.77755	5.0238	4.6422	4.6162	4.5052	4.6422	
RHEB	11.6089	12.0399	11.8089	11.8089	11.9914	11.9036	
IGF1R	5.78435	5.7007	6.1932	5.794	6.1703	7.1438	
SLC5A6	8.86935	8.9607	8.7744	8.8182	8.9817	8.869	
FOXO3	5.35685	5.6577	5.2261	5.5689	6.2794	5.7272	
RGS2	10.7314	11.0559	11.4071	11.1281	10.5503	10.9156	
GSTM2	4.494	4.1209	4.1209	4.1822	4.4222	4.2592	
SCYL3	6.1795	6.1529	6.6366	6.228	6.4801	6.3401	
RHOA	8.7793	8.1516	8.1459	8.014	8.3064	7.8015	
TBX2	4.53255	4.4191	4.5884	4.4419	4.2607	4.294	
DNAJA3	14.085	13.609	13.2524	13.9281	13.4991	13.609	
IL1B	5.8192	5.4856	6.4277	6.3821	5.5274	5.9926	
ASAH1	8.4307	8.6969	9.3193	9.0387	9.1053	9.0665	
DCUN1D4	7.98065	7.2504	7.4596	7.6518	7.748	7.6057	
DYRK3	6.91915	6.9189	7.0221	6.8125	6.6688	7.0595	
RALA	8.0718	8.5251	8.5204	8.4932	8.7578	8.5349	
ARHGEF12	6.32785	5.9362	6.7786	6.1389	6.3117	5.9293	
POLG2	6.93055	6.9859	7.3884	7.3228	7.7013	7.9218	
SOX2	7.10935	6.8364	6.307	7.0591	7.0991	7.0196	
TRAPPC3	11.0988	11.3763	11.006	10.817	11.2981	11.3728	
SERPINE1	4.2702	4.0765	4.3339	4.0871	3.8352	4.0457	
TCFL5	5.89565	6.1703	6.4183	6.2171	5.8697	5.7885	
CRK	8.4306	8.4885	8.6052	8.2832	8.7882	7.9192	
HLA-DMA	6.17345	5.9841	6.1058	5.7078	6.5241	5.9534	
EGF	4.6268	4.14	4.456	4.5594	4.2697	4.7775	
RBM34	10.3404	10.7108	10.7196	10.8648	10.972	11.1052	
ITGB1BP1	9.80575	9.912	9.8617	9.9722	9.755	9.9722	
SPTLC2	4.7596	5.127	5.2569	4.7994	5.2026	5.2491	
ACLY	10.378	9.9371	10.1249	9.5941	11.7402	9.7919	
APP	13.7507	13.8371	13.7372	13.5828	13.7372	13.6642	
RAD51C	7.53125	7.5954	7.5977	7.4928	7.0423	7.8047	
TSKU	6.1358	6.3045	6.7402	6.2501	6.1587	5.9151	
SMC1A	10.1336	9.9475	10.4355	10.2893	10.1448	10.6105	
TMEM2	9.03265	9.4931	9.2033	9.029	9.5485	9.2124	
NOS3	4.15485	4.14	4.6931	4.5033	4.2487	4.3134	
YME1L1	8.5983	8.2003	8.5821	8.5427	8.5442	8.6219	
ACAA1	6.70225	5.6849	6.2031	6.3787	6.4177	6.4543	
CSNK1A1	7.5362	7.3404	7.5104	7.2419	7.9413	7.5104	
HSPA8	10.9321	10.4613	11.2715	11.0185	10.8766	10.1509	
NFATC4	6.59215	5.9031	6.034	6.5335	5.2848	6.0792	
CCNB1	12.6847	12.5929	12.4822	12.4375	12.5305	12.6795	
