gene	0.04uM	0.12uM	0.37uM	1.11uM	10uM	3.33uM	
PSME1	11.6233	13.1318	13.1318	13.0472	12.8051	13.0472	
CISD1	11.1776	10.7729	10.9942	11.6294	11.2289	11.0534	
VDAC1	7.3613	12.4548	12.8051	10.2762	12.7044	11.0042	
SORBS3	8.9388	7.4035	7.2499	6.9707	8.1029	7.6411	
SPDEF	8.441	7.3756	6.9512	8.7332	6.2938	7.1427	
ATF1	5.4268	6.5631	6.6119	5.9517	6.6498	6.7781	
SPAG4	4.855	5.441	5.2256	4.9228	5.2924	5.3272	
E2F2	4.855	4.8233	4.8945	5.2626	4.9707	4.7727	
RHEB	11.6839	11.6233	11.5513	11.3985	11.4339	11.9062	
IGF1R	5.0801	6.4603	6.1644	5.9612	6.588	6.1644	
SLC5A6	10.6355	11.3985	10.9564	10.604	11.0042	11.0572	
FOXO3	6.0185	6.3784	6.3985	6.1986	6.6432	6.3516	
RGS2	9.6174	5.2121	5.5815	5.0562	5.0159	5.0408	
GSTM2	5.5479	4.798	5.3308	5.1348	4.3263	4.9091	
SCYL3	4.7313	4.6599	4.6514	4.3687	5.28	4.349	
RHOA	9.7339	8.6654	8.1441	7.618	8.9427	8.7283	
TBX2	6.5911	5.1364	5.2045	4.9362	4.9389	4.6642	
DNAJA3	14.5477	14.4809	14.8402	12.7044	14.433	14.6145	
IL1B	6.9084	5.5406	5.4694	6.8076	6.1356	5.7069	
ASAH1	7.666	9.8003	10.2444	10.2992	10.3865	10.353	
DCUN1D4	7.1514	7.2499	10.2124	8.1251	7.5245	7.2612	
DYRK3	6.5294	5.8363	7.2138	7.9713	5.3659	5.9088	
RALA	7.9434	7.8854	7.7336	8.4423	8.3164	8.3388	
ARHGEF12	6.8174	6.3605	6.2226	6.6505	7.0359	7.0539	
POLG2	6.0845	7.2223	7.2344	6.4581	6.4341	6.7875	
SOX2	7.8457	6.2719	6.598	8.0919	5.4912	5.6043	
TRAPPC3	9.7433	9.2575	9.4202	9.1371	9.632	9.2561	
SERPINE1	7.928	8.9669	9.1267	8.2605	8.3333	8.712	
TCFL5	5.6787	6.1258	5.4912	5.378	5.608	5.5745	
CRK	6.2823	8.6857	8.6285	8.1502	9.2213	8.7496	
HLA-DMA	7.4988	4.3263	4.5122	4.2761	4.221	4.2002	
EGF	4.6779	4.4728	4.3733	4.8671	4.5187	4.4141	
RBM34	8.6596	9.5327	9.9548	9.6517	9.9639	10.0016	
ITGB1BP1	9.3173	10.1666	9.4138	10.0286	9.989	9.9596	
SPTLC2	4.4775	4.6143	4.6472	4.0777	5.2836	4.9836	
ACLY	10.184	10.6262	9.981	9.6873	12.0552	10.4801	
APP	13.6357	13.1707	13.7236	13.8312	13.4177	13.4177	
RAD51C	8.0023	8.3125	8.38	8.1893	7.2594	8.2512	
TSKU	8.5382	6.6832	6.6873	5.9882	7.7071	6.8355	
SMC1A	8.532	9.1864	9.0012	9.0174	8.4275	8.8564	
TMEM2	9.0736	10.3504	10.4692	9.9767	10.9489	11.0317	
NOS3	5.185	5.6717	6.0122	6.0276	6.9876	6.4417	
YME1L1	9.0857	8.774	8.4624	8.3286	8.5712	8.8322	
ACAA1	7.0097	9.4037	9.4339	8.6342	9.1603	8.0709	
CSNK1A1	7.7933	7.4802	7.4754	7.8984	8.4761	8.4316	
HSPA8	9.6423	11.1845	11.2498	10.23	10.633	6.3319	
NFATC4	7.3396	5.0026	5.1736	7.618	5.5668	5.9985	
CCNB1	12.8471	12.4708	12.7513	12.7513	12.2587	12.8471	
TBP	7.282	8.5324	8.7267	8.0207	8.0582	8.5815	
SLC2A6	10.776	9.7609	10.0751	10.705	11.0452	10.428	
WFS1	10.235	9.1259	8.706	8.8087	9.5082	9.1179	
EZH2	9.3723	8.9796	8.876	7.5824	7.5716	7.8768	
UBE3B	8.9116	8.3115	8.1583	9.3365	7.5878	8.2246	
ICAM3	5.2795	6.2345	5.8809	5.6288	6.6745	6.4295	
NPDC1	4.8058	8.044	8.0595	8.0518	8.4624	8.0278	
ALDH7A1	8.9796	9.4494	9.6099	9.516	9.178	9.288	
BRCA1	4.0777	6.4006	6.2061	5.894	4.798	5.7393	
NFATC3	10.1424	10.1115	10.4954	10.3262	9.9293	10.6422	
PSMD4	10.2052	10.1551	10.4943	10.4209	10.8191	10.6925	
PCNA	14.2436	14.9355	14.5477	14.2134	13.878	14.7448	
PHKG2	7.2395	8.0017	7.785	7.9792	7.9884	7.8715	
ETV1	8.3954	4.4541	4.9362	4.3174	4.1277	3.9162	
POLR2I	9.5823	10.3447	10.2293	9.7498	9.7082	9.9366	
KDM5B	5.9114	6.2132	6.0274	6.3516	6.4011	6.1264	
PSMB8	7.9713	8.3857	8.5609	7.9585	9.2347	8.7476	
AKAP8L	6.7279	6.7729	7.3988	6.8366	7.7015	7.3613	
COG4	8.1402	8.982	8.5594	8.0225	8.9484	8.7341	
MCM3	11.2426	12.0762	11.9656	11.7715	10.9939	11.3383	
PLEKHJ1	11.7287	11.106	10.7099	10.9226	10.4158	10.23	
HAT1	8.6697	9.4004	9.5632	9.5556	8.5163	9.1107	
TERT	7.9109	6.9549	6.7465	7.8172	6.3208	6.498	
G3BP1	8.4895	10.7095	10.8796	9.4272	9.9122	10.3884	
SNX13	9.7941	7.8782	7.6632	9.7433	7.4472	8.2083	
PAK4	8.2984	8.26	7.9852	7.7446	8.2246	8.456	
TPD52L2	9.0512	8.6047	8.5785	8.3744	8.8322	8.6374	
DPH2	7.3983	8.2575	8.3131	8.0161	7.8138	8.3567	
PIH1D1	9.3279	8.5582	7.9622	8.498	8.3617	7.8172	
PRKCQ	6.3088	5.6043	5.4428	6.3294	5.5785	5.2775	
SNX6	10.2508	10.5063	10.7296	10.5976	11.5289	11.259	
EED	6.9989	7.0831	6.9911	7.0237	6.3203	6.9996	
SHB	6.4141	9.5571	9.6614	11.9607	8.8158	9.9122	
UTP14A	7.4237	7.8898	7.666	8.0595	7.9493	7.9135	
WIPF2	9.589	8.5271	8.8158	8.1685	8.8736	8.6025	
NENF	8.8787	9.3796	9.4942	9.1701	9.4692	9.5273	
