gene	3hr	24hr	
PSME1	11.1354	11.1803	
CISD1	10.469	10.5425	
VDAC1	12.6137	12.8708	
SORBS3	10.5482	11.0006	
SPDEF	6.8805	6.8642	
ATF1	6.6783	6.3276	
SPAG4	4.2005	4.5205	
E2F2	5.2843	4.9009	
RHEB	12.8368	12.8316	
IGF1R	7.3043	6.9501	
SLC5A6	6.5089	7.7322	
FOXO3	7.5682	8.1022	
RGS2	5.0327	5.0057	
GSTM2	6.5291	5.899	
SCYL3	4.4632	3.4703	
RHOA	9.2402	9.5637	
TBX2	4.2316	4.5433	
DNAJA3	12.6101	13.0715	
IL1B	4.9344	4.7502	
ASAH1	9.1531	9.7471	
DCUN1D4	7.6692	7.3939	
DYRK3	6.9468	6.8991	
RALA	8.6138	8.6258	
ARHGEF12	8.5555	8.7739	
POLG2	6.306	6.1442	
SOX2	6.8631	7.1343	
TRAPPC3	10.7098	10.1043	
SERPINE1	11.6179	11.3677	
TCFL5	4.3667	4.9012	
CRK	9.3962	9.8881	
HLA-DMA	4.4148	3.804	
EGF	4.2694	4.0476	
RBM34	9.79	9.6573	
ITGB1BP1	11.0622	10.9596	
SPTLC2	4.3483	4.0869	
ACLY	11.6366	11.9358	
APP	14.7544	15.0	
RAD51C	6.6159	5.8888	
TSKU	5.6365	6.5419	
SMC1A	8.9717	9.3031	
TMEM2	7.2395	7.2762	
NOS3	3.9687	3.793	
YME1L1	8.9342	8.6856	
ACAA1	7.859	8.0081	
CSNK1A1	9.7411	10.0861	
HSPA8	11.4648	11.4005	
NFATC4	7.136	6.7306	
CCNB1	12.77	12.8278	
TBP	7.8277	7.684	
SLC2A6	10.1882	10.0052	
WFS1	7.0411	7.3526	
EZH2	8.1242	7.5525	
UBE3B	7.2787	7.7085	
ICAM3	7.3888	6.2875	
NPDC1	8.0664	8.0995	
ALDH7A1	8.9419	8.7733	
BRCA1	5.3369	4.7693	
NFATC3	6.7357	6.5129	
PSMD4	11.1196	11.4393	
PCNA	14.0238	14.305	
PHKG2	6.2043	5.7632	
ETV1	6.0958	6.2875	
POLR2I	10.48	10.1213	
KDM5B	5.2278	6.1264	
PSMB8	7.7463	7.9925	
AKAP8L	6.3384	8.2292	
COG4	7.6451	7.0203	
MCM3	11.7172	11.5814	
PLEKHJ1	7.9628	8.5271	
HAT1	9.4529	9.2572	
TERT	5.6348	5.3375	
G3BP1	11.1093	10.9379	
SNX13	8.8619	8.5412	
PAK4	8.0183	7.7424	
TPD52L2	9.4878	10.1148	
DPH2	7.7353	7.2825	
PIH1D1	7.139	6.9917	
PRKCQ	4.9034	4.6508	
SNX6	8.4688	8.8266	
EED	8.0248	7.7424	
SHB	8.7779	8.2838	
UTP14A	6.6674	6.6421	
WIPF2	7.5168	7.7334	
NENF	10.3253	10.1607	
TSEN2	7.714	7.6293	
RPN1	13.7995	14.1757	
SUV39H1	7.1075	6.4783	
C2CD2L	4.9722	5.4045	
LYPLA1	9.9438	9.3533	
BIRC2	8.7749	7.8906	
GABPB1	8.7373	8.7467	
MAP2K5	6.1102	6.4776	
POLR2K	11.4697	11.1723	
PTK2B	6.3909	6.4635	
PUF60	13.4721	13.3129	
DHRS7	9.308	9.775	
PAF1	9.7915	9.2713	
ARID5B	7.9172	8.1237	
POLR1C	8.881	8.781	
PAK1	6.2831	6.6239	
RUVBL1	10.9242	11.2389	
AKT1	11.3539	11.3263	
CDC42	10.3283	10.4599	
IGHMBP2	5.7172	6.2807	
SENP6	9.4588	9.4849	
ADO	6.7868	6.8541	
HSPB1	14.2714	14.6305	
EBP	7.8917	7.1949	
TCTN1	6.3167	5.8952	
AKR7A2	11.7023	11.6088	
CASK	7.2124	7.4956	
PPP2R5E	9.6579	9.6341	
RRP8	6.3187	5.5587	
LAMA3	6.8309	3.4597	
PIK3C3	7.5826	7.1588	
BHLHE40	5.3444	6.1541	
CCNE2	7.8563	6.8475	
BDH1	5.9285	6.0971	
FEZ2	3.8391	4.9492	
IKBKAP	8.3026	8.257	
SH3BP5	7.8073	7.8559	
PPP2R5A	7.6785	7.6759	
SGCB	9.185	8.3043	
EML3	7.2808	7.2557	
ENOPH1	10.1627	10.1041	
BIRC5	12.2288	11.662	
CNOT4	6.6487	7.1683	
EPRS	10.2494	10.5803	
SNAP25	4.5504	4.0247	
JMJD6	10.1382	10.2157	
PAX8	4.1556	3.4336	
CBLB	9.4253	9.2812	
SLC35F2	4.8269	4.5755	
ANO10	8.4125	8.4929	
PDS5A	9.2937	9.0283	
DFFB	6.2498	5.6439	
STUB1	12.5768	12.612	
PGAM1	13.0113	13.237	
TGFB3	6.1382	5.8471	
BAD	9.6569	9.6091	
XBP1	10.438	10.5789	
NMT1	7.0076	7.666	
PSMD10	8.8507	7.4289	
ARFIP2	9.0358	8.76	
RAB11FIP2	6.9838	7.1031	
FPGS	7.3758	7.3684	
STAMBP	7.9007	8.2992	
PRKX	5.7542	5.7007	
RNH1	11.2614	11.8983	
ATG3	9.9878	9.5633	
FAH	7.3669	7.0587	
NCK1	10.55	10.2409	
PLP2	8.3508	8.7987	
CFLAR	7.2481	8.7199	
SOX4	7.9797	7.9386	
HEATR1	9.618	8.9531	
TESK1	9.0573	9.2424	
HN1L	8.5455	8.8594	
WDR7	6.9529	7.0519	
AKAP8	7.9305	7.1263	
RRAGA	9.7069	9.9043	
ELOVL6	6.9287	7.0063	
SLC1A4	6.1456	6.0714	
ACBD3	7.8235	7.9026	
GRWD1	7.1808	6.8073	
PMAIP1	6.3614	6.9501	
STAT1	10.0667	10.0497	
FOXJ3	8.6464	8.6157	
TWF2	10.4324	10.667	
HDAC6	7.192	6.9741	
MTERFD1	11.1065	11.0873	
CCND1	8.2728	7.1694	
CHIC2	8.0716	8.5462	
PXN	11.0957	11.2021	
USP7	5.6868	6.0118	
NOSIP	8.9778	8.378	
PHKB	6.9031	6.8386	
DLD	11.4017	11.5113	
NFKBIB	7.0208	6.4322	
CASC3	9.1913	9.0943	
IDE	5.6586	5.6574	
CD40	8.47	8.1419	
MLEC	12.2459	12.4425	
GLI2	4.853	5.4665	
PRPF4	7.6215	7.3991	
MELK	10.4097	10.175	
USP22	12.9489	13.2679	
DAXX	8.6464	8.821	
TMED10	11.7908	11.6899	
CHERP	9.0086	8.2138	
SMAD3	7.6692	9.4412	
OXA1L	11.2316	11.3804	
PIK3CA	9.298	8.7495	
SNX7	10.0879	10.4169	
TRAPPC6A	7.0208	7.6373	
ATP2C1	10.2018	10.6791	
CDCA4	8.0845	6.8147	
TBC1D9B	7.0547	6.2394	
USP14	7.9054	7.1997	
APPBP2	5.5915	5.4981	
CDC20	13.4861	14.2422	
NARFL	7.438	6.7089	
RPS6	14.8881	15.0	
DDX42	7.6215	7.5789	
ECH1	10.7955	11.0495	
HDAC2	9.828	9.8418	
IKBKE	5.0327	4.7969	
CCL2	6.7572	7.0819	
DFFA	8.7849	9.0363	
MRPL19	10.8958	11.141	
WDTC1	8.2052	8.7507	
PLSCR3	9.5973	9.5444	
SUZ12	10.1626	10.3037	
CSNK2A2	6.514	6.4845	
H2AFV	8.9197	8.8072	
NUSAP1	10.4823	10.6268	
TICAM1	6.4872	6.6537	
FAM69A	10.6415	10.6574	
KIAA0100	8.1985	8.362	
PAICS	7.8728	7.6209	
SRC	4.5884	6.218	
BMP4	7.0842	6.6239	
CDK2	9.0538	9.3152	
EDN1	8.893	9.8675	
XPO7	10.0489	9.8764	
FAIM	8.6996	8.9171	
KIAA0494	9.3598	9.4069	
PXMP2	9.1395	9.1293	
SQSTM1	13.113	13.7254	
HIF1A	13.3289	13.5341	
TIMM17B	9.1414	9.3448	
STXBP2	5.5499	3.5498	
WRB	7.0874	7.6725	
ETFB	9.8086	9.5143	
MNAT1	7.3523	7.632	
CAMSAP2	10.1113	9.3999	
HPRT1	9.2622	9.7484	
ARNT2	11.4179	11.8655	
RRS1	8.9735	8.9944	
ADAT1	6.5122	6.1062	
SPAG7	9.7915	9.3837	
MAPK1IP1L	9.5327	8.829	
SCAND1	9.0956	11.8583	
MFSD10	9.5557	9.6614	
MSH6	10.1534	10.6031	
COPS7A	10.2665	10.1293	
UBE2C	11.7613	11.812	
FIS1	8.5542	8.0316	
HS2ST1	5.4676	5.1205	
NUDT9	7.9134	8.3517	
TXLNA	11.9137	12.0949	
CSRP1	12.9919	12.9547	
DNAJB1	10.3857	10.6697	
METRN	7.78	7.8644	
TOPBP1	9.0797	8.705	
ABCF1	10.8086	10.482	
TCTA	10.0252	9.7	
LGMN	9.0727	9.0894	
TLK2	8.5252	8.5244	
KIAA1033	5.2843	5.0985	
PTGS2	8.2069	8.51	
DNAJB6	10.9065	11.2577	
PLA2G4A	10.1865	11.1011	
MAT2A	12.0018	12.3954	
TLR4	7.4928	7.7652	
HMGCS1	13.6854	13.2198	
MBTPS1	8.3477	8.4487	
SPRED2	9.7696	9.7353	
ZNF274	7.2598	7.8411	
CLIC4	14.1221	14.7868	
MAP7	5.0437	3.8361	
CHAC1	9.2559	8.8026	
EIF4G1	9.9172	9.8005	
BTK	3.5094	4.0307	
GNAS	13.1005	13.8216	
MYL9	13.4041	13.6747	
TEX10	7.3523	7.1297	
PSMD2	12.7861	13.2676	
ZNF586	5.3808	5.5998	
CLTC	11.9934	12.4371	
IKZF1	4.1185	3.6045	
APBB2	6.811	6.5609	
HSD17B10	8.7877	8.6748	
RNF167	11.3401	10.7454	
STX1A	9.1913	9.9087	
ALDOA	10.7687	10.6511	
EPHA3	5.4537	4.8948	
STAT5B	5.9604	5.5052	
TXNDC9	7.6182	7.4146	
CCNA2	10.6605	10.4793	
VGLL4	8.8178	9.0099	
CASP10	6.1856	5.5204	
SDHB	11.9336	12.0723	
ETS1	8.2253	7.992	
YTHDF1	8.2681	7.7964	
FOXO4	6.0557	6.6833	
LSM5	12.144	12.2886	
TOMM34	9.6873	9.6133	
