gene	0.04uM	0.12uM	0.37uM	1.11uM	10uM	3.33uM	
PSME1	11.0214	11.2527	10.8674	11.1803	10.6914	10.9746	
CISD1	10.7894	10.8558	10.5665	10.5425	10.425	10.8849	
VDAC1	11.5061	12.5055	12.8316	12.8708	12.3001	12.8577	
SORBS3	10.0037	10.447	10.3567	11.0006	10.9872	11.0929	
SPDEF	7.52805	6.7688	6.5333	6.8642	7.5274	7.4386	
ATF1	6.1843	6.8287	6.5901	6.3276	5.5698	5.8649	
SPAG4	5.87155	4.6201	4.4869	4.5205	3.7924	3.8605	
E2F2	6.7916	4.5396	4.912	4.9009	4.8839	5.6206	
RHEB	13.1005	13.0528	13.0395	12.8316	13.0156	12.9279	
IGF1R	7.4099	7.4608	7.4192	6.9501	6.7032	7.5031	
SLC5A6	5.63055	5.8611	7.7243	7.7322	5.6887	5.5422	
FOXO3	7.59075	7.9253	7.9877	8.1022	8.2402	8.5067	
RGS2	10.645	5.9974	4.6956	5.0057	6.1679	5.5459	
GSTM2	5.56595	6.0595	6.3248	5.899	5.6982	5.2915	
SCYL3	3.9445	3.852	3.5498	3.4703	4.0362	3.6674	
RHOA	10.7313	9.872	9.4503	9.5637	9.469	9.2954	
TBX2	4.2315	4.7501	4.0869	4.5433	3.9685	4.0145	
DNAJA3	13.1367	13.0533	13.0337	13.0715	13.7339	13.5341	
IL1B	3.91255	4.8295	4.5168	4.7502	6.1921	5.5142	
ASAH1	7.72185	9.4633	9.4143	9.7471	8.8724	8.7294	
DCUN1D4	7.9287	7.3882	7.2557	7.3939	8.0032	7.3262	
DYRK3	6.76545	6.1696	6.7208	6.8991	7.4453	7.1343	
RALA	9.03145	8.4457	8.7219	8.6258	9.1294	8.8241	
ARHGEF12	8.1003	8.6498	8.053	8.7739	8.5462	8.0169	
POLG2	6.7312	8.2827	8.6506	6.1442	6.1985	6.8756	
SOX2	7.6253	7.4564	7.1078	7.1343	7.3899	7.9756	
TRAPPC3	10.5508	10.2743	10.4498	10.1043	10.9761	10.6193	
SERPINE1	11.1554	11.667	11.4604	11.3677	7.3297	10.1177	
TCFL5	8.8712	4.6956	4.8495	4.9012	4.181	3.8605	
CRK	9.1933	9.5358	9.4473	9.8881	9.7543	9.8246	
HLA-DMA	7.31055	4.4775	3.9276	3.804	4.7155	4.4744	
EGF	5.48845	4.9855	4.4268	4.0476	4.1313	4.9123	
RBM34	7.65865	9.0917	9.6305	9.6573	9.253	9.4503	
ITGB1BP1	10.9741	11.2204	11.2576	10.9596	10.4715	10.7671	
SPTLC2	3.87225	4.0307	3.828	4.0869	3.3385	3.793	
ACLY	11.6687	11.7279	11.8477	11.9358	12.4202	11.77	
APP	14.2865	14.9984	14.9434	15.0	15.0	15.0001	
RAD51C	5.36725	6.3608	4.898	5.8888	6.7135	6.4455	
TSKU	8.23265	5.4207	6.1062	6.5419	6.354	5.132	
SMC1A	7.7993	8.4354	8.7395	9.3031	8.7052	9.0283	
TMEM2	7.4663	6.9813	7.2415	7.2762	5.8471	6.4635	
NOS3	3.42945	4.9307	4.5523	3.793	4.659	4.4548	
YME1L1	9.09915	8.743	8.3718	8.6856	8.0504	7.8018	
ACAA1	6.8534	7.7069	7.8552	8.0081	7.8875	7.3471	
CSNK1A1	10.0326	9.6504	10.0684	10.0861	9.6091	9.8127	
HSPA8	11.5458	11.6981	11.2703	11.4005	10.4063	10.3469	
NFATC4	6.3136	6.5471	6.5173	6.7306	8.0169	7.4664	
CCNB1	10.0904	13.1476	13.1013	12.8278	13.3469	13.0156	
TBP	6.87395	7.6913	7.7964	7.684	7.2695	7.4269	
SLC2A6	9.72605	9.8237	9.9713	10.0052	11.9149	10.425	
WFS1	8.06755	7.3046	7.3996	7.3526	7.0097	7.8177	
EZH2	8.17915	8.1326	8.3357	7.5525	8.0187	7.859	
UBE3B	6.7008	7.4649	7.5858	7.7085	7.6989	7.9827	
ICAM3	6.3322	7.4314	6.1286	6.2875	6.2439	5.4672	
NPDC1	6.2776	6.1248	7.6091	8.0995	8.5846	8.4519	
ALDH7A1	9.00935	9.0423	9.1775	8.7733	9.2178	8.9402	
BRCA1	4.7397	5.2439	5.1922	4.7693	4.1291	4.391	
NFATC3	7.01955	6.7306	6.5422	6.5129	7.1251	7.3517	
PSMD4	9.74215	11.1631	11.2527	11.4393	10.8648	11.1001	
