gene	3hr	24hr	
PSME1	nan	12.1644	
CISD1	nan	10.4919	
VDAC1	nan	7.6962	
SORBS3	nan	4.2559	
SPDEF	nan	7.765	
ATF1	nan	8.6591	
SPAG4	nan	5.8047	
E2F2	nan	4.625	
RHEB	nan	12.2978	
IGF1R	nan	5.6743	
SLC5A6	nan	8.1107	
FOXO3	nan	6.8239	
RGS2	nan	8.6108	
GSTM2	nan	4.4643	
SCYL3	nan	5.872	
RHOA	nan	8.2791	
TBX2	nan	4.2882	
DNAJA3	nan	12.8016	
IL1B	nan	6.6552	
ASAH1	nan	7.9813	
DCUN1D4	nan	8.3643	
DYRK3	nan	5.9685	
RALA	nan	8.568	
ARHGEF12	nan	6.8106	
POLG2	nan	7.138	
SOX2	nan	6.599	
TRAPPC3	nan	10.9775	
SERPINE1	nan	4.335	
TCFL5	nan	6.0874	
CRK	nan	8.135	
HLA-DMA	nan	5.0408	
EGF	nan	4.709	
RBM34	nan	9.8499	
ITGB1BP1	nan	9.6339	
SPTLC2	nan	5.7128	
ACLY	nan	10.394	
APP	nan	13.0398	
RAD51C	nan	6.8801	
TSKU	nan	6.3899	
SMC1A	nan	9.942	
TMEM2	nan	8.823	
NOS3	nan	4.7495	
YME1L1	nan	9.0724	
ACAA1	nan	8.3826	
CSNK1A1	nan	8.0182	
HSPA8	nan	11.2532	
NFATC4	nan	6.0432	
CCNB1	nan	12.343	
TBP	nan	8.3042	
SLC2A6	nan	8.6343	
WFS1	nan	8.7578	
EZH2	nan	9.9301	
UBE3B	nan	7.4287	
ICAM3	nan	5.9202	
NPDC1	nan	9.1546	
ALDH7A1	nan	7.4546	
BRCA1	nan	6.295	
NFATC3	nan	9.5598	
PSMD4	nan	9.5378	
PCNA	nan	13.6552	
PHKG2	nan	7.4536	
ETV1	nan	5.4807	
POLR2I	nan	10.3002	
KDM5B	nan	5.8771	
PSMB8	nan	8.0832	
AKAP8L	nan	6.4659	
COG4	nan	8.3749	
MCM3	nan	11.025	
PLEKHJ1	nan	10.3283	
HAT1	nan	9.5292	
TERT	nan	6.9853	
G3BP1	nan	10.9005	
SNX13	nan	8.7749	
PAK4	nan	9.3201	
TPD52L2	nan	8.4167	
DPH2	nan	8.8999	
PIH1D1	nan	8.7163	
PRKCQ	nan	6.2536	
SNX6	nan	8.3338	
EED	nan	7.9956	
SHB	nan	9.7201	
UTP14A	nan	8.4908	
WIPF2	nan	9.0436	
NENF	nan	9.2482	
TSEN2	nan	8.7123	
RPN1	nan	13.1134	
SUV39H1	nan	7.987	
C2CD2L	nan	5.7046	
LYPLA1	nan	9.7762	
BIRC2	nan	8.3163	
GABPB1	nan	8.7864	
MAP2K5	nan	7.464	
POLR2K	nan	10.6901	
PTK2B	nan	7.4808	
PUF60	nan	12.5606	
DHRS7	nan	8.7123	
PAF1	nan	9.4339	
ARID5B	nan	8.1898	
POLR1C	nan	8.9956	
PAK1	nan	7.1124	
RUVBL1	nan	11.6721	
AKT1	nan	9.5522	
CDC42	nan	11.463	
IGHMBP2	nan	5.9957	
SENP6	nan	8.8999	
ADO	nan	6.4625	
HSPB1	nan	11.5662	
EBP	nan	8.6462	
TCTN1	nan	6.309	
AKR7A2	nan	11.1196	
CASK	nan	6.5314	
PPP2R5E	nan	8.8124	
RRP8	nan	6.5675	
LAMA3	nan	4.5827	
PIK3C3	nan	7.5726	
BHLHE40	nan	3.9334	
CCNE2	nan	6.7275	
BDH1	nan	8.3247	
FEZ2	nan	5.5406	
IKBKAP	nan	8.8564	
SH3BP5	nan	5.6289	
PPP2R5A	nan	10.2297	
SGCB	nan	5.6129	
EML3	nan	8.5331	
ENOPH1	nan	11.6491	
BIRC5	nan	11.6061	
CNOT4	nan	6.6208	
EPRS	nan	10.6012	
SNAP25	nan	3.9748	
JMJD6	nan	10.7469	
PAX8	nan	5.6524	
CBLB	nan	5.8151	
SLC35F2	nan	10.2175	
ANO10	nan	5.1655	
PDS5A	nan	9.2767	
DFFB	nan	6.8327	
STUB1	nan	12.5732	
PGAM1	nan	11.9744	
TGFB3	nan	4.7711	
BAD	nan	8.7485	
XBP1	nan	10.2329	
NMT1	nan	8.3466	
PSMD10	nan	7.9332	
ARFIP2	nan	11.584	
RAB11FIP2	nan	6.529	
FPGS	nan	9.4924	
STAMBP	nan	8.9021	
PRKX	nan	7.358	
RNH1	nan	10.9582	
ATG3	nan	9.4371	
FAH	nan	7.1292	
NCK1	nan	9.5765	
PLP2	nan	7.9828	
CFLAR	nan	6.8722	
SOX4	nan	8.2117	
HEATR1	nan	9.9032	
TESK1	nan	9.2996	
HN1L	nan	9.6351	
WDR7	nan	7.6343	
AKAP8	nan	8.6922	
RRAGA	nan	8.3476	
ELOVL6	nan	9.4467	
SLC1A4	nan	4.372	
ACBD3	nan	7.0504	
GRWD1	nan	7.9338	
PMAIP1	nan	6.3964	
STAT1	nan	8.5525	
FOXJ3	nan	8.311	
TWF2	nan	8.8454	
HDAC6	nan	8.253	
MTERFD1	nan	8.8621	
CCND1	nan	4.6727	
CHIC2	nan	7.108	
PXN	nan	12.1168	
USP7	nan	6.9774	
NOSIP	nan	8.7841	
PHKB	nan	8.3407	
DLD	nan	11.5364	
NFKBIB	nan	6.8031	
CASC3	nan	8.6994	
IDE	nan	6.3172	
CD40	nan	8.9632	
MLEC	nan	13.1291	
GLI2	nan	5.2949	
PRPF4	nan	8.6874	
MELK	nan	10.5715	
USP22	nan	11.8151	
DAXX	nan	8.9539	
TMED10	nan	10.7458	
CHERP	nan	8.9261	
SMAD3	nan	8.4229	
OXA1L	nan	11.1434	
PIK3CA	nan	9.7966	
SNX7	nan	10.1947	
TRAPPC6A	nan	9.3239	
ATP2C1	nan	9.3459	
CDCA4	nan	7.3852	
TBC1D9B	nan	8.4091	
USP14	nan	8.4134	
APPBP2	nan	6.5552	
CDC20	nan	13.3864	
NARFL	nan	9.1163	
RPS6	nan	14.5231	
DDX42	nan	8.1919	
ECH1	nan	12.2335	
HDAC2	nan	10.8658	
IKBKE	nan	6.0613	
CCL2	nan	5.5285	
DFFA	nan	9.3385	
MRPL19	nan	10.8032	
WDTC1	nan	8.3988	
PLSCR3	nan	7.7834	
SUZ12	nan	11.48	
CSNK2A2	nan	8.3522	
H2AFV	nan	8.7469	
NUSAP1	nan	11.2657	
TICAM1	nan	5.9821	
FAM69A	nan	8.552	
KIAA0100	nan	8.052	
PAICS	nan	8.513	
SRC	nan	6.6287	
BMP4	nan	11.3936	
CDK2	nan	9.3291	
EDN1	nan	9.7154	
XPO7	nan	8.3231	
FAIM	nan	8.2073	
KIAA0494	nan	9.979	
PXMP2	nan	10.8296	
SQSTM1	nan	13.0263	
HIF1A	nan	11.73	
TIMM17B	nan	11.2354	
STXBP2	nan	8.2073	
WRB	nan	5.8337	
ETFB	nan	12.6966	
MNAT1	nan	7.4812	
CAMSAP2	nan	10.6568	
HPRT1	nan	10.4273	
ARNT2	nan	11.6832	
RRS1	nan	8.5588	
ADAT1	nan	8.1726	
SPAG7	nan	8.8073	
MAPK1IP1L	nan	8.9516	
SCAND1	nan	10.461	
MFSD10	nan	11.8757	
MSH6	nan	9.9555	
COPS7A	nan	11.1998	
UBE2C	nan	12.5125	
FIS1	nan	9.9018	
HS2ST1	nan	7.0253	
NUDT9	nan	9.4137	
TXLNA	nan	11.025	
CSRP1	nan	12.2896	
DNAJB1	nan	9.8015	
METRN	nan	6.7356	
TOPBP1	nan	9.1558	
ABCF1	nan	9.8514	
TCTA	nan	9.5292	
LGMN	nan	8.5321	
TLK2	nan	7.9534	
KIAA1033	nan	9.1933	
PTGS2	nan	7.0818	
DNAJB6	nan	11.4092	
PLA2G4A	nan	10.5589	
MAT2A	nan	11.8535	
TLR4	nan	5.9703	
HMGCS1	nan	11.1867	
MBTPS1	nan	7.6004	
SPRED2	nan	11.1264	
ZNF274	nan	6.3208	
CLIC4	nan	11.4044	
MAP7	nan	8.7578	
CHAC1	nan	10.26	
EIF4G1	nan	8.5903	
BTK	nan	3.7017	
GNAS	nan	13.4829	
MYL9	nan	7.0852	
TEX10	nan	8.2541	
PSMD2	nan	11.5246	
ZNF586	nan	5.9497	
CLTC	nan	11.4158	
IKZF1	nan	4.6085	
APBB2	nan	6.6131	
HSD17B10	nan	10.612	
RNF167	nan	10.0308	
STX1A	nan	8.5884	
ALDOA	nan	9.08	
EPHA3	nan	6.2507	
STAT5B	nan	4.263	
TXNDC9	nan	10.0622	
CCNA2	nan	10.5963	
VGLL4	nan	8.5212	
CASP10	nan	7.3904	
SDHB	nan	12.1882	
ETS1	nan	6.5043	
YTHDF1	nan	8.8849	
FOXO4	nan	8.1082	
LSM5	nan	11.9817	
TOMM34	nan	10.3118	
ZMYM2	nan	9.7736	
CHMP6	nan	5.0445	
KIAA0907	nan	9.201	
CASP7	nan	8.5964	
HK1	nan	7.4047	
PAPD7	nan	10.6586	
PIGB	nan	8.5426	
CHEK2	nan	9.0479	
PLOD3	nan	12.277	
ACD	nan	7.2246	
TRAK2	nan	7.4937	
SUPV3L1	nan	10.341	
VAPB	nan	9.08	
GPATCH8	nan	7.4782	
HSPD1	nan	11.5554	
BUB1B	nan	11.5306	
TGFBR2	nan	6.8101	
MRPL12	nan	12.5937	
NOTCH1	nan	8.4295	
PNP	nan	11.3427	
SHC1	nan	8.1605	
ARPP19	nan	9.5164	
CEBPA	nan	6.8659	
PSMF1	nan	8.8928	
RTN2	nan	10.511	
NPEPL1	nan	7.3306	
USP1	nan	8.3093	
RPA1	nan	10.7935	
SIRT3	nan	4.4766	
KLHDC2	nan	11.6377	
UBQLN2	nan	8.1664	
DMTF1	nan	8.3645	
SCARB1	nan	7.8555	
CLPX	nan	9.1822	
TPM1	nan	10.14	
TM9SF2	nan	9.6437	
TXNL4B	nan	7.7246	
ATF6	nan	8.1283	
PRR15L	nan	7.3188	
NUP88	nan	10.4056	
ST6GALNAC2	nan	5.404	
ADH5	nan	10.0527	
FUT1	nan	8.7884	
GOLT1B	nan	10.9013	
PRUNE	nan	5.239	
PPOX	nan	9.4595	
SYPL1	nan	12.7568	
CANT1	nan	11.5042	
ZNF451	nan	8.5777	
HOMER2	nan	6.7851	
RALB	nan	10.7849	
CLTB	nan	9.1551	
TRIM13	nan	10.1106	
FBXO7	nan	7.2308	
PHKA1	nan	7.1942	
CYCS	nan	10.8655	
PPARD	nan	6.1548	
ENOSF1	nan	7.1041	
MAP4K4	nan	5.423	
PAN2	nan	5.5461	
STAT3	nan	4.4081	
LIG1	nan	10.0853	
PPIC	nan	9.3685	
EIF5	nan	10.0591	
GNB5	nan	7.9503	
GNAI1	nan	4.9137	
INSIG1	nan	9.7582	
DNMT3A	nan	8.9517	
TM9SF3	nan	10.6618	
CCDC86	nan	10.1665	
