gene	0.04uM	0.12uM	0.37uM	1.11uM	10uM	3.33uM	
PSME1	11.4491	11.8789	12.1272	12.1644	12.3356	12.3356	
CISD1	10.6012	10.6179	10.3549	10.4919	9.9757	10.2731	
VDAC1	7.5938	7.6367	7.6927	7.6962	9.8179	8.1671	
SORBS3	4.0862	4.1855	4.5562	4.2559	4.7848	4.2711	
SPDEF	8.2489	7.7257	7.7284	7.765	8.5212	8.1219	
ATF1	8.6913	8.6394	8.5556	8.6591	7.743	8.4105	
SPAG4	5.7837	5.872	6.9632	5.8047	6.3535	5.8912	
E2F2	5.4988	4.8556	5.3819	4.625	5.1916	4.5827	
RHEB	12.6045	12.5454	12.4522	12.2978	12.3992	12.5454	
IGF1R	5.4331	5.5668	5.3577	5.6743	6.9573	5.6174	
SLC5A6	8.6232	8.614	8.2087	8.1107	7.9813	8.1306	
FOXO3	6.8722	6.6203	6.9675	6.8239	7.9192	7.1132	
RGS2	8.5144	8.9627	8.8423	8.6108	7.2735	8.73	
GSTM2	4.335	3.5684	4.7066	4.4643	4.2052	5.204	
SCYL3	4.1262	5.6943	3.8808	5.872	5.0124	3.7478	
RHOA	8.5346	8.7166	8.6786	8.2791	7.8866	8.4209	
TBX2	4.97	4.7519	4.4922	4.2882	4.2203	4.1501	
DNAJA3	13.5672	12.5349	13.1031	12.8016	13.5672	13.4829	
IL1B	5.8832	5.193	5.7999	6.6552	6.0221	5.4331	
ASAH1	7.3306	7.0035	8.926	7.9813	8.4648	7.8366	
DCUN1D4	7.3415	8.6679	8.2071	8.3643	7.8408	8.1283	
DYRK3	6.1294	5.2529	5.0994	5.9685	5.5332	6.3677	
RALA	8.8239	8.9675	8.7611	8.568	9.0754	8.7922	
ARHGEF12	7.9124	8.0836	7.4505	6.8106	7.6869	7.7105	
POLG2	6.4512	6.7936	6.8239	7.138	6.5387	6.6841	
SOX2	5.6167	5.193	5.9094	6.599	5.851	5.4431	
TRAPPC3	10.5058	10.8157	10.6659	10.9775	10.725	11.1328	
SERPINE1	5.0393	4.2882	4.0269	4.335	4.1596	3.8858	
TCFL5	4.263	6.2035	6.0574	6.0874	5.497	5.31	
CRK	7.655	8.2672	8.3041	8.135	8.513	8.2306	
HLA-DMA	5.1713	4.6323	4.5997	5.0408	5.4968	5.0813	
EGF	4.31	4.7343	4.6727	4.709	4.7626	4.7626	
RBM34	8.9401	9.6214	9.711	9.8499	9.8606	9.8873	
ITGB1BP1	9.4913	9.5522	9.8692	9.6339	8.8199	9.3029	
SPTLC2	5.3159	5.8304	5.6355	5.7128	6.2464	5.6589	
ACLY	10.7386	10.4745	10.1862	10.394	10.961	10.3217	
APP	12.7031	12.7416	13.0263	13.0398	13.4485	13.2179	
RAD51C	6.0278	6.6994	6.5257	6.8801	5.5808	6.3622	
TSKU	7.235	7.454	6.8155	6.3899	7.9473	7.1172	
SMC1A	9.3558	9.84	10.0851	9.942	8.4851	9.846	
TMEM2	8.4795	8.7457	8.6614	8.823	9.2643	8.9463	
NOS3	4.9797	4.6282	4.7184	4.7495	4.6001	4.934	
YME1L1	9.051	9.6494	9.397	9.0724	8.8686	8.8926	
ACAA1	7.9265	8.0274	8.7603	8.3826	7.486	7.8768	
CSNK1A1	8.559	8.4733	8.3373	8.0182	8.8135	8.2467	
HSPA8	10.9115	11.5139	11.7133	11.2532	10.3026	11.5523	
NFATC4	6.1189	5.3196	5.1097	6.0432	5.7399	5.2843	
CCNB1	12.2776	12.3642	12.5791	12.343	11.7541	12.0611	
TBP	8.1605	8.3607	8.311	8.3042	7.8239	7.8826	
SLC2A6	9.1822	8.7357	8.6922	8.6343	9.6075	9.2019	
WFS1	8.2871	7.7819	8.2282	8.7578	8.3718	8.6165	
EZH2	10.1186	9.9351	9.9997	9.9301	8.6479	9.5249	
UBE3B	7.3899	7.2871	7.7603	7.4287	7.8555	7.7336	
ICAM3	5.5998	6.1398	5.7823	5.9202	5.2107	5.3207	
NPDC1	8.2968	8.8513	8.892	9.1546	9.8455	9.2313	
ALDH7A1	7.3137	6.2182	6.2965	7.4546	7.6118	7.3669	
BRCA1	5.6194	6.6157	6.7632	6.295	4.6463	5.9685	
NFATC3	9.7458	10.1766	10.0918	9.5598	10.155	10.0866	
PSMD4	9.7673	10.2329	10.1231	9.5378	10.5198	10.1987	
PCNA	13.6617	13.8396	14.1402	13.6552	12.0421	13.6743	
PHKG2	7.3171	7.5621	7.48	7.4536	7.2031	7.365	
ETV1	4.8705	5.0124	5.2844	5.4807	6.0984	5.4628	
POLR2I	10.8655	10.9374	10.5494	10.3002	10.3979	10.4167	
KDM5B	5.9957	6.1545	5.6758	5.8771	6.7871	6.1835	
PSMB8	7.1691	7.5032	7.6788	8.0832	9.1435	8.7122	
AKAP8L	6.328	6.3255	6.445	6.4659	6.7194	5.851	
COG4	8.2436	8.1082	8.4021	8.3749	8.3466	8.3543	
MCM3	11.123	11.2957	11.4868	11.025	8.5497	10.7402	
PLEKHJ1	10.5494	10.6229	10.7469	10.3283	10.6659	10.8553	
HAT1	9.6484	9.832	9.7931	9.5292	8.4081	9.5378	
TERT	7.6254	6.004	6.5983	6.9853	7.8866	7.0952	
G3BP1	10.8206	11.1021	11.2204	10.9005	10.0885	11.0686	
SNX13	8.2087	7.5938	7.8174	8.7749	8.3782	7.9124	
PAK4	10.1825	9.4965	9.8966	9.3201	9.8532	9.8361	
TPD52L2	9.0224	8.6614	8.6581	8.4167	8.806	8.8038	
DPH2	9.0797	9.0959	8.8872	8.8999	7.9124	8.4764	
PIH1D1	9.8308	9.8488	9.3655	8.7163	9.6388	9.4186	
PRKCQ	6.7246	5.6057	5.5396	6.2536	5.888	6.043	
SNX6	7.9238	7.9795	8.0484	8.3338	8.8124	8.578	
EED	8.2305	8.599	8.4314	7.9956	7.0934	7.9974	
SHB	9.1763	7.9401	8.7383	9.7201	7.8617	7.5422	
UTP14A	8.9987	8.6939	8.7889	8.4908	8.4965	8.8621	
WIPF2	8.6978	9.3655	9.0896	9.0436	9.2088	9.0896	
NENF	8.9585	9.2304	9.0197	9.2482	8.7493	9.2344	
TSEN2	8.6387	8.7866	9.202	8.7123	7.7532	8.7049	
RPN1	12.7416	13.1291	13.2616	13.1134	13.3437	13.2031	
SUV39H1	7.9853	8.3091	8.1623	7.987	6.3702	7.6587	
C2CD2L	6.1238	5.9379	5.472	5.7046	6.0909	6.2518	
LYPLA1	9.8337	10.3987	9.8569	9.7762	9.5135	9.8301	
BIRC2	8.0546	7.9463	8.2132	8.3163	8.8828	8.6978	
GABPB1	8.4974	8.6108	8.8127	8.7864	8.2926	8.2117	
MAP2K5	7.2631	7.365	7.4427	7.464	8.1306	7.6452	
POLR2K	10.1782	10.6397	10.0681	10.6901	10.0968	10.4886	
PTK2B	6.6291	6.1294	6.4334	7.4808	6.3833	6.4248	
