gene	3hr	24hr	
PSME1	10.1253	10.4493	
CISD1	11.3061	10.7423	
VDAC1	13.2235	13.476	
SORBS3	9.248	7.205	
SPDEF	7.8655	8.3196	
ATF1	7.7216	7.605	
SPAG4	4.7512	6.2336	
E2F2	5.609	5.0292	
RHEB	12.5046	12.7566	
IGF1R	7.0783	7.199	
SLC5A6	8.4672	8.7538	
FOXO3	7.1052	7.9114	
RGS2	9.083	9.3992	
GSTM2	5.3795	5.1509	
SCYL3	5.2716	3.9755	
RHOA	8.6321	8.9002	
TBX2	4.4756	4.7316	
DNAJA3	11.7148	12.4069	
IL1B	6.9715	6.9779	
ASAH1	7.7522	7.8711	
DCUN1D4	8.0206	8.424	
DYRK3	7.5437	7.4964	
RALA	8.0381	8.3663	
ARHGEF12	7.5383	7.7602	
POLG2	6.8532	7.1826	
SOX2	7.4904	6.0008	
TRAPPC3	10.3683	10.6149	
SERPINE1	9.6775	10.5707	
TCFL5	5.8068	5.4074	
CRK	8.6098	9.4173	
HLA-DMA	3.8462	4.6304	
EGF	4.6282	4.0398	
RBM34	11.2404	11.3627	
ITGB1BP1	9.5763	9.8557	
SPTLC2	4.5441	5.0899	
ACLY	10.9067	10.9716	
APP	13.4569	13.8605	
RAD51C	6.595	7.3745	
TSKU	5.2426	6.2117	
SMC1A	10.2062	10.1973	
TMEM2	6.5228	6.5996	
NOS3	4.7928	5.0141	
YME1L1	8.7266	9.06	
ACAA1	7.2557	7.0066	
CSNK1A1	9.2645	10.3628	
HSPA8	11.6617	11.9582	
NFATC4	7.2736	5.6655	
CCNB1	12.9295	12.855	
TBP	9.0583	8.758	
SLC2A6	8.9185	7.2415	
WFS1	6.6047	6.019	
EZH2	8.8116	8.5451	
UBE3B	8.0773	7.8484	
ICAM3	4.8348	5.5405	
NPDC1	9.4776	9.844	
ALDH7A1	8.1273	8.1488	
BRCA1	5.9801	6.3751	
NFATC3	7.908	7.0831	
PSMD4	11.4486	11.7644	
PCNA	13.342	14.2472	
PHKG2	7.3595	6.246	
ETV1	5.7803	5.8407	
POLR2I	9.4829	9.7371	
KDM5B	7.2334	6.9143	
PSMB8	8.3072	8.8374	
AKAP8L	6.4889	6.6288	
COG4	7.1959	7.9943	
MCM3	11.9804	11.9984	
PLEKHJ1	9.1451	9.2184	
HAT1	9.001	8.6331	
TERT	6.0831	5.1918	
G3BP1	10.7331	11.1541	
SNX13	7.8451	7.6685	
PAK4	7.4329	7.8985	
TPD52L2	9.099	8.9751	
DPH2	7.6518	8.0172	
PIH1D1	8.2867	7.4044	
PRKCQ	5.6362	5.2664	
SNX6	8.8162	9.5256	
EED	8.8968	8.8784	
SHB	10.0046	8.4626	
UTP14A	7.1578	8.4775	
WIPF2	7.9607	7.7685	
NENF	11.0757	11.5637	
TSEN2	8.3449	8.6088	
RPN1	12.7279	12.6917	
SUV39H1	7.0572	7.5185	
C2CD2L	5.2136	5.6265	
LYPLA1	9.4724	9.8557	
BIRC2	9.038	8.2253	
GABPB1	8.0431	8.6998	
MAP2K5	6.7891	6.7802	
POLR2K	10.5269	10.7529	
PTK2B	9.5047	9.3444	
PUF60	13.171	13.155	
DHRS7	10.1228	10.2299	
PAF1	9.8449	9.1912	
ARID5B	7.8215	6.1784	
POLR1C	9.0865	8.5729	
PAK1	5.9049	6.4452	
RUVBL1	11.3941	10.8498	
AKT1	10.4988	11.3446	
CDC42	10.8542	10.5826	
IGHMBP2	6.1103	6.7669	
SENP6	9.4924	9.2666	
ADO	6.707	6.2791	
HSPB1	12.4755	13.1091	
EBP	9.636	9.4029	
TCTN1	6.3344	6.2993	
AKR7A2	9.0895	9.8088	
CASK	6.0237	7.1121	
PPP2R5E	9.2087	9.0345	
RRP8	7.2869	7.643	
LAMA3	11.6453	12.0086	
PIK3C3	7.9148	7.8337	
BHLHE40	4.7796	6.4032	
CCNE2	7.2686	5.8013	
BDH1	7.5255	8.189	
FEZ2	7.3736	7.0098	
IKBKAP	9.5213	9.8216	
SH3BP5	6.891	5.6832	
PPP2R5A	9.6639	9.6467	
SGCB	7.3194	7.5944	
EML3	7.685	7.716	
ENOPH1	10.7848	10.9122	
BIRC5	11.3501	11.4841	
CNOT4	7.0561	7.1435	
EPRS	10.9494	11.4684	
SNAP25	10.6451	10.9551	
JMJD6	10.1594	11.0693	
PAX8	3.6292	4.0435	
CBLB	6.5462	6.237	
SLC35F2	8.7266	9.3031	
