gene	0.04uM	0.12uM	0.37uM	1.11uM	10uM	3.33uM	
PSME1	9.828	10.7287	10.683	10.4493	9.8489	10.4445	
CISD1	11.1407	11.333	11.2174	10.7423	10.6954	10.8773	
VDAC1	13.3167	13.4257	13.476	13.476	13.1473	13.5147	
SORBS3	7.3745	7.0925	8.5942	7.205	8.4451	8.7612	
SPDEF	8.5244	7.8119	6.4136	8.3196	8.9527	7.08505	
ATF1	6.9691	7.519	7.9832	7.605	6.08015	7.43765	
SPAG4	4.0108	3.7963	7.1271	6.2336	5.2691	6.38035	
E2F2	5.2101	4.0488	5.1124	5.0292	5.97455	4.38605	
RHEB	12.5202	12.5202	12.6804	12.7566	12.3597	12.4565	
IGF1R	6.5193	7.3151	7.46	7.199	7.71095	7.6065	
SLC5A6	8.9928	8.9669	8.7064	8.7538	7.82815	7.78685	
FOXO3	7.2469	7.6031	7.6303	7.9114	9.3497	8.55805	
RGS2	9.1877	9.6795	9.9863	9.3992	9.82545	8.80705	
GSTM2	3.674	4.4421	5.0545	5.1509	5.6698	4.77465	
SCYL3	6.0979	3.6721	3.2617	3.9755	3.89935	3.23755	
RHOA	9.3055	9.051	9.2363	8.9002	9.36555	9.02805	
TBX2	5.2976	5.026	4.3108	4.7316	6.38345	4.73525	
DNAJA3	13.9816	13.045	12.2343	12.4069	13.7872	12.936	
IL1B	6.8849	7.2539	7.1748	6.9779	8.8605	7.04125	
ASAH1	8.2684	7.919	8.6426	7.8711	8.86445	8.5961	
DCUN1D4	7.8714	7.8466	7.9934	8.424	7.48385	7.69555	
DYRK3	7.5099	8.1918	7.3662	7.4964	7.15245	7.39975	
RALA	8.1414	7.7542	8.4976	8.3663	8.3236	8.3687	
ARHGEF12	7.292	7.6675	8.0122	7.7602	7.5789	7.7998	
POLG2	6.1815	6.9459	6.9143	7.1826	6.544	7.60525	
SOX2	6.5894	6.0376	5.6746	6.0008	7.6468	6.6689	
TRAPPC3	10.8397	10.7916	10.681	10.6149	10.8365	10.7245	
SERPINE1	9.8041	10.8406	10.8095	10.5707	8.39625	10.4234	
TCFL5	5.1886	5.3528	5.5287	5.4074	5.06985	5.1314	
