gene	3hr	24hr	
PSME1	11.9179	12.1857	
CISD1	11.3321	10.6416	
VDAC1	11.5991	12.2929	
SORBS3	4.63115	5.5252	
SPDEF	9.8272	10.1762	
ATF1	7.98185	8.4052	
SPAG4	3.40705	5.4513	
E2F2	4.7008	4.6511	
RHEB	12.0906	11.9845	
IGF1R	11.723	11.3217	
SLC5A6	9.34885	9.6919	
FOXO3	9.32675	8.6077	
RGS2	4.1715	6.1182	
GSTM2	5.13675	5.532	
SCYL3	3.2088	4.3419	
RHOA	8.48155	9.0877	
TBX2	9.0483	9.3772	
DNAJA3	12.9707	12.5447	
IL1B	7.2076	6.1028	
ASAH1	7.1961	8.0133	
DCUN1D4	7.94785	7.1198	
DYRK3	6.91325	5.6721	
RALA	8.72025	8.623	
ARHGEF12	7.3721	6.5907	
POLG2	7.70455	7.7963	
SOX2	9.6318	8.4598	
TRAPPC3	9.6049	10.1869	
SERPINE1	4.9093	6.3831	
TCFL5	3.2714	3.7322	
CRK	8.7729	9.2323	
HLA-DMA	3.66595	4.5381	
EGF	4.7475	4.6014	
RBM34	9.6957	9.7132	
ITGB1BP1	9.6697	9.3555	
SPTLC2	5.36135	5.3584	
ACLY	10.1424	10.2728	
APP	13.4857	13.1964	
RAD51C	10.5737	10.4143	
TSKU	6.59455	8.1627	
SMC1A	9.20525	8.8927	
TMEM2	7.8336	7.5145	
NOS3	4.45275	4.3078	
YME1L1	9.6505	9.7549	
ACAA1	8.91565	7.4382	
CSNK1A1	8.1121	8.9279	
HSPA8	10.8687	11.6867	
NFATC4	6.41905	5.3922	
CCNB1	12.8102	12.5573	
TBP	8.2221	8.7583	
SLC2A6	9.1381	8.9963	
WFS1	8.20615	8.0498	
EZH2	8.69545	9.4621	
UBE3B	9.4102	8.5428	
ICAM3	6.50105	7.1251	
NPDC1	11.4851	11.5729	
ALDH7A1	8.22015	8.0541	
BRCA1	5.44675	5.2387	
NFATC3	9.0582	8.5428	
PSMD4	12.5557	12.9477	
PCNA	13.8254	13.7208	
PHKG2	7.95875	7.8844	
ETV1	4.44465	3.6942	
POLR2I	10.6993	10.428	
KDM5B	7.94875	8.2425	
PSMB8	4.78125	4.0344	
AKAP8L	7.52945	6.7071	
COG4	8.71665	9.1155	
MCM3	11.4072	10.543	
PLEKHJ1	8.70715	8.4833	
HAT1	9.28815	9.6488	
TERT	6.35915	5.977	
G3BP1	9.6062	9.5747	
SNX13	8.6471	7.3793	
PAK4	10.0068	9.9205	
TPD52L2	9.33085	8.6474	
DPH2	7.60765	7.7849	
PIH1D1	7.3744	6.3574	
PRKCQ	4.4881	4.5031	
SNX6	9.32535	9.5366	
EED	9.29115	8.7126	
SHB	8.53165	7.7405	
UTP14A	8.17235	8.555	
WIPF2	6.8628	7.7311	
NENF	9.6061	9.7408	
TSEN2	8.16045	8.7669	
RPN1	13.0187	13.0811	
SUV39H1	7.09085	7.0107	
C2CD2L	5.366	5.1728	
LYPLA1	9.4297	10.0059	
BIRC2	6.71165	6.568	
GABPB1	9.7234	9.7005	
MAP2K5	6.9472	6.9017	
POLR2K	11.2301	11.3933	
PTK2B	7.9255	6.8854	
PUF60	13.052	12.9775	
DHRS7	10.766	9.7283	
PAF1	10.3223	10.341	
ARID5B	8.366	7.0386	
POLR1C	8.4379	8.0973	
PAK1	5.3895	5.7027	
RUVBL1	10.6633	10.5285	
AKT1	11.8951	11.8334	
CDC42	10.4624	10.7005	
IGHMBP2	7.4447	6.0462	
SENP6	10.7368	10.8746	
ADO	6.08115	7.2217	
HSPB1	14.5581	14.5196	
EBP	9.5027	9.3557	
TCTN1	6.8872	7.0563	
AKR7A2	10.5217	11.243	
CASK	7.0772	7.1878	
PPP2R5E	11.1647	10.7188	
RRP8	6.28945	6.2372	
LAMA3	4.25255	3.6692	
PIK3C3	6.2244	6.2167	
BHLHE40	4.41065	5.9045	
CCNE2	7.39805	3.9217	
BDH1	8.24225	9.2159	
FEZ2	4.80515	7.3924	
IKBKAP	8.9894	8.813	
SH3BP5	11.024	11.1469	
PPP2R5A	9.70975	9.8561	
SGCB	5.9095	7.347	
EML3	8.4139	8.0808	
ENOPH1	11.2691	11.2223	
BIRC5	10.904	10.9926	
CNOT4	6.93945	7.1113	
EPRS	10.0685	9.9304	
SNAP25	9.6744	4.5557	
JMJD6	9.89265	10.9494	
PAX8	3.31985	3.8467	
CBLB	7.38805	7.4712	
SLC35F2	6.34345	7.1026	
ANO10	6.7684	6.9017	
PDS5A	9.4169	9.6588	
DFFB	6.43545	5.8491	
STUB1	13.1107	13.4964	
PGAM1	12.8134	12.8194	
TGFB3	8.3588	7.3295	
BAD	8.92505	9.1648	
XBP1	13.2029	13.4451	
NMT1	7.5473	6.7753	
PSMD10	9.3045	10.3523	
ARFIP2	9.36835	9.5016	
RAB11FIP2	6.2416	6.8144	
FPGS	8.6396	8.4824	
STAMBP	9.5025	9.7357	
PRKX	7.9843	7.0241	
RNH1	10.1621	9.8119	
ATG3	8.69555	8.4857	
FAH	6.7593	6.9492	
NCK1	9.3341	9.7543	
PLP2	7.4913	6.8572	
CFLAR	8.0543	6.9994	
SOX4	9.80235	9.9678	
HEATR1	9.33195	8.4711	
TESK1	9.57855	9.1824	
HN1L	10.183	10.476	
WDR7	7.1234	6.2009	
AKAP8	8.64265	7.964	
RRAGA	8.7705	8.8276	
ELOVL6	8.88955	8.4636	
SLC1A4	4.46	4.4388	
ACBD3	8.05555	7.5926	
GRWD1	7.1897	8.3564	
PMAIP1	6.98585	7.087	
STAT1	9.1982	8.1181	
FOXJ3	6.9581	8.3583	
TWF2	8.1153	7.9173	
HDAC6	7.42435	7.6496	
MTERFD1	11.0134	10.4652	
CCND1	8.6491	9.3431	
CHIC2	7.8505	7.6606	
PXN	11.259	11.6424	
USP7	8.16675	7.4165	
NOSIP	6.4737	7.9122	
PHKB	7.96095	7.166	
DLD	11.8269	11.7213	
NFKBIB	6.4861	6.4487	
CASC3	7.40095	7.71	
IDE	5.96255	5.9623	
CD40	10.4866	8.5667	
MLEC	10.8715	11.5728	
GLI2	5.70355	4.186	
PRPF4	9.3297	8.9519	
MELK	11.0257	9.3584	
USP22	12.4221	12.4288	
DAXX	7.42045	7.8478	
TMED10	12.6937	12.5826	
CHERP	8.75525	8.873	
SMAD3	8.66895	8.2913	
OXA1L	12.0816	12.3477	
PIK3CA	9.0006	7.7961	
SNX7	12.0151	10.7234	
TRAPPC6A	10.225	10.0698	
ATP2C1	8.6158	9.0159	
CDCA4	7.83975	7.87	
TBC1D9B	7.44275	8.1766	
USP14	7.55945	6.7961	
APPBP2	10.5474	11.4472	
CDC20	12.277	12.8253	
NARFL	7.8743	7.8233	
RPS6	14.6507	14.7088	
DDX42	9.597	8.7091	
ECH1	11.8864	11.9177	
HDAC2	9.845	9.9004	
IKBKE	4.8566	4.7614	
CCL2	5.47975	5.1528	
DFFA	9.47655	8.729	
MRPL19	11.378	11.0363	
WDTC1	7.29445	7.7018	
PLSCR3	8.20415	8.0954	
SUZ12	9.56815	9.2509	
CSNK2A2	5.50945	7.4475	
H2AFV	7.55225	5.346	
NUSAP1	9.69695	9.3369	
TICAM1	5.2501	5.5545	
FAM69A	9.60675	8.0682	
KIAA0100	8.27555	8.9324	
PAICS	7.27085	8.0195	
SRC	3.2777	5.3545	
BMP4	7.8746	7.6524	
CDK2	9.0762	9.0775	
EDN1	9.3294	8.3806	
XPO7	7.738	7.6617	
FAIM	8.40505	7.3979	
KIAA0494	8.46735	8.6139	
PXMP2	10.041	10.0629	
SQSTM1	12.1567	12.6277	
HIF1A	13.3986	13.3559	
TIMM17B	11.4619	11.6791	
STXBP2	7.6521	7.3523	
WRB	7.91075	8.3678	
ETFB	10.6821	10.9051	
MNAT1	8.28245	8.826	
CAMSAP2	10.8705	10.8022	
HPRT1	10.9123	10.9603	
ARNT2	11.8846	10.1925	
RRS1	8.041	7.8749	
ADAT1	7.95955	7.3035	
SPAG7	10.4038	10.379	
MAPK1IP1L	9.86395	9.3435	
SCAND1	11.3442	11.4567	
MFSD10	10.3289	9.7922	
MSH6	9.8878	10.3172	
COPS7A	9.36035	9.6077	
UBE2C	11.12	11.4698	
FIS1	9.95305	9.8015	
HS2ST1	5.46335	4.8109	
NUDT9	8.68415	9.0765	
TXLNA	10.216	10.4952	
CSRP1	13.0327	13.1415	
DNAJB1	10.0006	10.6393	
METRN	9.05415	9.731	
TOPBP1	9.01945	8.0234	
ABCF1	10.1854	9.7669	
TCTA	9.1774	8.5738	
LGMN	7.37215	7.492	
TLK2	10.587	10.5623	
KIAA1033	8.4331	3.8566	
PTGS2	3.3542	8.114	
DNAJB6	10.7629	10.8962	
PLA2G4A	11.2891	9.4854	
MAT2A	11.2366	11.3088	
TLR4	4.15065	4.5758	
HMGCS1	11.6771	11.4696	
MBTPS1	8.61385	8.9752	
SPRED2	9.30755	9.2441	
ZNF274	7.0974	7.1266	
CLIC4	10.981	11.1361	
MAP7	8.52615	8.3911	
CHAC1	10.6838	8.7695	
EIF4G1	9.3125	9.138	
BTK	3.31785	4.0617	
GNAS	14.3389	14.2543	
MYL9	6.9485	5.7621	
TEX10	7.2937	7.8158	
PSMD2	12.0608	11.8162	
ZNF586	6.35825	6.3446	
CLTC	13.3997	13.559	
IKZF1	4.22325	4.411	
APBB2	8.8179	7.4301	
HSD17B10	10.5387	10.7639	
RNF167	10.3447	10.327	
STX1A	7.2339	7.925	
ALDOA	11.6732	11.7916	
EPHA3	7.9753	4.577	
STAT5B	3.8446	4.9848	
TXNDC9	8.4084	8.5385	
CCNA2	9.7852	9.7938	
VGLL4	9.7742	9.4066	
CASP10	7.4865	5.9338	
SDHB	11.2294	11.3741	
ETS1	8.97065	7.33	
YTHDF1	8.1574	9.1747	
FOXO4	5.51175	6.6423	
LSM5	12.2534	12.0894	
TOMM34	7.5113	8.0423	
ZMYM2	10.2418	10.5165	
CHMP6	4.53375	5.7509	
KIAA0907	8.1051	8.554	
CASP7	7.561	8.813	
HK1	8.2423	8.4333	
PAPD7	11.8948	10.4696	
PIGB	8.53555	8.2736	
CHEK2	6.75125	7.4165	
PLOD3	11.6124	11.9457	
ACD	8.5523	6.299	
TRAK2	6.6169	8.2603	
SUPV3L1	11.7559	10.3301	
VAPB	9.7616	9.7256	
GPATCH8	5.9927	6.2542	
HSPD1	10.8981	11.121	
BUB1B	9.8665	9.1554	
TGFBR2	7.8401	5.1353	
MRPL12	11.9419	12.252	
NOTCH1	9.4022	9.188	
PNP	11.2143	11.5641	
SHC1	8.51905	7.1026	
ARPP19	10.3349	10.512	
CEBPA	4.90405	5.8826	
PSMF1	8.8133	8.2425	
RTN2	11.1001	9.7391	
NPEPL1	10.4485	10.6119	
USP1	7.272	6.6247	
RPA1	10.7544	10.7086	
SIRT3	8.1609	5.096	
KLHDC2	11.4427	11.7625	
UBQLN2	8.05245	7.7018	
DMTF1	7.03145	8.2124	
SCARB1	8.65845	7.995	
CLPX	9.59965	9.1373	
TPM1	10.9669	11.1702	
TM9SF2	8.3273	8.1791	
TXNL4B	7.43905	8.0297	
ATF6	7.8515	7.974	
PRR15L	7.7963	6.5728	
NUP88	10.5704	11.0358	
ST6GALNAC2	9.92195	10.2797	
ADH5	9.3455	10.0116	
FUT1	7.9575	6.7635	
GOLT1B	9.104	9.0069	
PRUNE	5.87645	6.7418	
PPOX	9.469	7.7561	
SYPL1	12.3351	12.2989	
CANT1	11.2717	11.4436	
ZNF451	8.00125	7.0867	
HOMER2	9.13065	8.9947	
RALB	9.3733	10.2236	
CLTB	11.3726	11.3289	
TRIM13	8.1619	6.9124	
FBXO7	7.7656	7.9561	
PHKA1	6.2998	6.5323	
CYCS	10.1863	10.3738	
PPARD	6.0671	5.0561	
ENOSF1	6.32215	6.7711	
MAP4K4	5.20925	4.2903	
PAN2	4.8259	6.8144	
STAT3	4.40995	5.1728	
LIG1	9.68495	9.4305	
PPIC	11.2627	11.6991	
EIF5	8.6792	10.9126	
GNB5	7.1594	6.8773	
GNAI1	4.3374	4.3419	
INSIG1	11.4333	10.9321	
DNMT3A	10.4163	8.635	
TM9SF3	8.8268	8.817	
CCDC86	10.2771	9.2288	
HIST2H2BE	9.92975	10.0479	
S100A4	6.4081	6.7156	
SLC25A14	5.35035	4.0316	
KTN1	10.2025	10.5832	
TBXA2R	5.7287	5.3896	
ARHGAP1	10.5663	10.3196	
FBXO11	6.45125	5.6226	
HERPUD1	8.2727	7.4917	
LPAR2	9.46285	8.9278	
COASY	6.5984	7.0344	
RPL39L	4.9054	4.411	
BPHL	7.3938	6.8851	
RASA1	8.04875	8.3925	
ATMIN	8.7424	9.0392	
MAPKAPK3	6.12995	6.299	
CASP3	9.89555	8.7399	
MBOAT7	11.792	11.7518	
PNKP	7.8769	8.1901	
PSME2	12.334	12.1168	
NISCH	6.8992	7.9207	
SLC35A3	6.65545	6.693	
CPSF4	9.6939	10.1193	
LSR	10.4148	9.2144	
COPB2	10.9891	11.4177	
MEF2C	5.7846	5.0585	
GADD45A	9.23775	9.5921	
KDM5A	7.1283	6.7232	
FAM63A	8.88865	8.3479	
SMNDC1	8.8748	8.9117	
NUDCD3	8.9515	9.1053	
