gene	0.04uM	0.12uM	0.37uM	1.11uM	10uM	3.33uM	
PSME1	11.8177	12.122	11.7027	12.1857	11.7679	11.9861	
CISD1	10.6721	10.5464	10.3322	10.6416	10.5676	10.9724	
VDAC1	12.3138	12.2293	12.2614	12.2929	11.0907	11.3934	
SORBS3	4.84105	4.6943	5.51635	5.5252	6.3724	5.2367	
SPDEF	10.1287	10.0615	10.1014	10.1762	11.1067	10.292	
ATF1	8.01775	8.0773	7.8859	8.4052	7.2616	7.48005	
SPAG4	4.1716	4.8246	5.82955	5.4513	4.584	4.1267	
E2F2	4.7132	5.2435	4.89825	4.6511	5.0806	4.82045	
RHEB	12.2138	12.1611	12.3552	11.9845	11.9177	11.7326	
IGF1R	11.3279	10.4097	10.0373	11.3217	11.1998	10.9153	
SLC5A6	9.7575	9.74815	10.0782	9.6919	8.8986	9.06925	
FOXO3	9.26515	8.83205	9.1768	8.6077	9.5299	9.60675	
RGS2	6.4313	6.5429	5.3867	6.1182	4.8389	4.8683	
GSTM2	5.3343	5.007	5.03585	5.532	4.979	4.57145	
SCYL3	3.94675	3.4913	5.08175	4.3419	3.5087	3.55435	
RHOA	9.63045	9.34405	9.8304	9.0877	8.4649	8.59275	
TBX2	8.90265	8.60885	9.30345	9.3772	8.6454	8.4965	
DNAJA3	12.74	12.6885	12.4903	12.5447	12.5612	13.3913	
IL1B	4.65995	5.90525	5.4878	6.1028	6.4347	6.73665	
ASAH1	7.72405	7.47345	7.5454	8.0133	7.3949	7.63285	
DCUN1D4	6.81795	6.74165	6.8418	7.1198	7.2833	6.5157	
DYRK3	5.6296	5.72065	5.5232	5.6721	6.274	6.57045	
RALA	8.7239	8.42805	8.86085	8.623	8.8974	8.4087	
ARHGEF12	7.4094	7.1131	6.84645	6.5907	7.9507	6.782	
POLG2	7.3884	6.49525	7.9013	7.7963	7.2901	7.36275	
SOX2	8.4032	8.4872	8.11985	8.4598	9.3485	9.5431	
TRAPPC3	10.1842	10.3132	10.4727	10.1869	10.3635	9.98705	
SERPINE1	6.16905	4.7184	5.91645	6.3831	4.3277	4.1969	
TCFL5	3.7331	5.3314	3.6846	3.7322	6.451	4.5097	
CRK	9.14535	9.10365	9.091	9.2323	8.8739	8.78995	
HLA-DMA	4.3841	4.9169	4.57105	4.5381	4.8389	4.3933	
EGF	4.47945	4.2378	3.86935	4.6014	4.0872	4.95485	
RBM34	9.33525	9.47695	9.44925	9.7132	9.5441	9.55005	
ITGB1BP1	9.3793	9.63125	9.39655	9.3555	8.702	9.04785	
SPTLC2	5.2678	5.5868	5.51015	5.3584	5.2545	4.64105	
ACLY	10.2374	10.0823	10.2801	10.2728	11.0077	10.3302	
APP	13.0259	13.1297	12.9598	13.1964	13.1028	13.4163	
RAD51C	9.96685	10.2365	10.1873	10.4143	9.4979	10.2106	
TSKU	7.78325	8.6666	9.02165	8.1627	9.8091	8.12835	
SMC1A	8.7985	8.6088	7.8278	8.8927	7.4676	8.3616	
TMEM2	7.23235	6.9237	7.7464	7.5145	7.456	7.28465	
NOS3	4.1702	4.2888	4.50685	4.3078	5.4554	4.54835	
YME1L1	9.7895	10.1129	9.95305	9.7549	9.0179	8.83585	
ACAA1	7.4896	7.41335	7.57365	7.4382	7.3014	7.67675	
CSNK1A1	9.2423	8.72715	9.21985	8.9279	8.7422	8.13285	
HSPA8	11.7213	11.8391	11.5317	11.6867	10.26	10.8461	
NFATC4	5.32875	5.0447	4.6489	5.3922	5.6721	6.3429	
CCNB1	12.5788	12.5446	12.7494	12.5573	12.2091	12.7239	
TBP	8.4022	8.6574	8.32875	8.7583	8.1614	8.38675	
SLC2A6	9.14655	8.95545	8.9944	8.9963	10.2754	9.8066	
WFS1	8.68165	7.95225	8.19145	8.0498	7.8049	8.43685	
EZH2	9.4517	9.3574	9.6227	9.4621	7.8478	8.5053	
UBE3B	9.2545	8.6194	8.672	8.5428	10.2428	9.86495	
ICAM3	6.8035	7.2102	6.69445	7.1251	6.9651	6.36505	
NPDC1	11.4215	11.382	11.5131	11.5729	11.4698	11.5602	
ALDH7A1	5.86795	7.9469	7.81595	8.0541	4.3204	8.4336	
BRCA1	5.2652	5.61175	5.1929	5.2387	7.2679	4.31965	
