gene	3hr	24hr	
PSME1	11.5858	11.878	
CISD1	11.3368	11.0015	
VDAC1	12.6691	12.5599	
SORBS3	8.3934	6.6827	
SPDEF	8.8982	8.3955	
ATF1	7.6697	7.7109	
SPAG4	5.1687	6.1298	
E2F2	4.4873	5.2898	
RHEB	13.2225	13.1013	
IGF1R	7.661	7.4958	
SLC5A6	8.3408	7.0386	
FOXO3	6.8833	7.2077	
RGS2	5.7221	7.0495	
GSTM2	5.7655	6.1518	
SCYL3	4.145	5.3406	
RHOA	9.6021	7.4824	
TBX2	5.4521	4.7463	
DNAJA3	11.64	10.9552	
IL1B	3.3756	5.3982	
ASAH1	7.9276	7.5304	
DCUN1D4	9.1581	7.6543	
DYRK3	6.874	6.466	
RALA	8.9549	9.1777	
ARHGEF12	8.66	8.5482	
POLG2	7.7383	7.8956	
SOX2	8.0732	6.4382	
TRAPPC3	10.389	11.1353	
SERPINE1	10.2922	10.1441	
TCFL5	7.7715	6.9062	
CRK	10.0496	9.5132	
HLA-DMA	5.5451	6.2229	
EGF	5.0277	4.9746	
RBM34	10.5923	11.0479	
ITGB1BP1	10.9762	10.9332	
SPTLC2	4.0956	4.6839	
ACLY	10.9242	10.7005	
APP	13.672	13.7127	
RAD51C	8.3781	6.5135	
TSKU	5.0502	7.2211	
SMC1A	10.4857	10.3377	
TMEM2	6.1841	6.5004	
NOS3	6.4682	5.076	
YME1L1	9.0861	8.5808	
ACAA1	8.2755	7.4471	
CSNK1A1	8.5348	8.9327	
HSPA8	10.9086	9.0717	
NFATC4	8.3091	5.1172	
CCNB1	12.9286	12.3986	
TBP	9.5932	9.3106	
SLC2A6	10.5526	10.7336	
WFS1	8.074	7.4338	
EZH2	9.0804	8.6034	
UBE3B	9.7569	8.795	
ICAM3	5.4935	5.5443	
NPDC1	7.9496	8.4326	
ALDH7A1	7.5988	7.6033	
BRCA1	4.9627	4.6696	
NFATC3	6.781	6.1905	
PSMD4	11.0327	11.8975	
PCNA	13.7848	13.2064	
PHKG2	6.5031	6.3765	
ETV1	8.3214	8.6971	
POLR2I	10.4289	9.9196	
KDM5B	6.15	5.904	
PSMB8	9.7968	10.2861	
AKAP8L	6.9	7.3344	
COG4	7.5451	7.6766	
MCM3	12.5378	11.5502	
PLEKHJ1	8.7666	8.1255	
HAT1	9.2839	8.8065	
TERT	5.0033	5.9458	
G3BP1	9.8297	10.4524	
SNX13	8.1997	6.988	
PAK4	8.6367	8.2882	
TPD52L2	9.3176	9.298	
DPH2	7.4348	7.4269	
PIH1D1	8.363	8.9683	
PRKCQ	4.2826	5.7241	
SNX6	9.4199	9.7585	
EED	9.0323	8.625	
SHB	7.6128	7.3613	
UTP14A	7.8896	7.8366	
WIPF2	8.0287	8.6183	
NENF	10.7582	11.1704	
TSEN2	7.7868	7.9476	
RPN1	12.6145	11.908	
SUV39H1	7.9115	7.8956	
C2CD2L	6.5252	6.5405	
LYPLA1	6.4171	8.8963	
BIRC2	9.3736	9.5998	
GABPB1	8.2834	8.2344	
MAP2K5	6.6595	6.8899	
POLR2K	10.0249	10.217	
PTK2B	6.6069	7.1534	
PUF60	12.6355	12.7037	
DHRS7	8.685	9.1622	
PAF1	9.6828	9.584	
ARID5B	8.4012	6.1277	
POLR1C	9.7745	8.9161	
PAK1	5.6172	6.0908	
RUVBL1	10.1688	10.1136	
AKT1	11.3425	10.2512	
CDC42	10.5982	10.8666	
IGHMBP2	7.449	7.2268	
SENP6	9.7002	8.8116	
ADO	6.7396	7.2302	
HSPB1	12.0191	12.2197	
EBP	9.8439	9.4923	
TCTN1	8.5817	6.5254	
AKR7A2	10.4335	10.5442	
CASK	8.0848	9.1028	
PPP2R5E	10.9624	9.1322	
RRP8	6.6801	7.089	
LAMA3	5.2546	5.736	
PIK3C3	7.7546	8.6483	
BHLHE40	5.1093	5.4318	
CCNE2	8.0131	5.1422	
BDH1	8.6873	8.1831	
FEZ2	5.9521	7.0788	
IKBKAP	8.9856	9.0813	
SH3BP5	6.946	7.0451	
PPP2R5A	8.3583	8.034	
SGCB	7.2165	7.2226	
EML3	7.294	7.4189	
ENOPH1	11.374	10.833	
BIRC5	11.436	10.8486	
CNOT4	7.7652	7.1871	
EPRS	9.9972	9.8775	
SNAP25	3.5413	9.4424	
JMJD6	10.3966	10.5008	
PAX8	5.5451	6.6149	
CBLB	6.9011	7.0427	
SLC35F2	9.8253	10.1811	
ANO10	8.0108	8.8383	
PDS5A	9.4691	8.7301	
DFFB	6.5955	6.1985	
STUB1	12.1283	12.0194	
PGAM1	13.2987	13.6259	
TGFB3	4.3612	4.7507	
BAD	10.366	10.839	
XBP1	8.3715	7.9717	
NMT1	8.3583	8.3598	
PSMD10	8.51	7.3548	
ARFIP2	10.1235	10.0806	
RAB11FIP2	7.8189	7.5671	
FPGS	9.1989	8.4871	
STAMBP	9.0544	9.7574	
PRKX	6.2162	5.9963	
RNH1	11.721	10.9474	
ATG3	8.4292	8.409	
FAH	9.0693	9.1075	
NCK1	9.336	9.5898	
PLP2	10.1576	10.5976	
CFLAR	8.7824	8.8963	
SOX4	6.65	6.5618	
HEATR1	9.5891	10.1951	
TESK1	8.0324	8.5555	
HN1L	9.7276	9.3163	
WDR7	5.9042	6.6301	
AKAP8	8.3564	8.4018	
RRAGA	8.9591	9.0577	
ELOVL6	9.8211	9.9926	
SLC1A4	5.9042	5.1817	
ACBD3	8.8909	8.1445	
GRWD1	7.8384	8.25	
PMAIP1	9.8419	10.2959	
STAT1	8.4526	8.3492	
FOXJ3	9.0349	8.9964	
TWF2	8.5828	9.0849	
HDAC6	9.2341	9.5318	
MTERFD1	9.6109	9.9055	
CCND1	7.189	6.9538	
CHIC2	9.2986	8.9993	
PXN	12.2192	12.2422	
USP7	6.6793	7.0175	
NOSIP	7.9241	8.7651	
PHKB	6.9634	8.5422	
DLD	11.1289	10.7307	
NFKBIB	6.3208	6.3215	
CASC3	8.7935	8.8207	
IDE	6.2334	5.8049	
CD40	8.6487	7.8061	
MLEC	11.6927	11.2234	
GLI2	5.5613	5.3096	
PRPF4	9.2075	9.2977	
MELK	11.7601	10.7528	
USP22	12.1799	11.8445	
DAXX	8.1451	9.0425	
TMED10	11.0633	11.0195	
CHERP	9.0212	9.1283	
SMAD3	7.5096	8.4252	
OXA1L	10.8525	10.1026	
PIK3CA	8.1676	8.8296	
SNX7	9.5699	9.2895	
TRAPPC6A	8.9591	7.594	
ATP2C1	8.6772	8.9895	
CDCA4	9.2695	7.9436	
TBC1D9B	8.2163	8.9396	
USP14	8.0453	7.252	
APPBP2	5.2231	5.9773	
