gene	0.04uM	0.12uM	0.37uM	1.11uM	10uM	3.33uM	
PSME1	11.4568	10.8559	11.8975	11.878	10.6838	11.801	
CISD1	10.4915	10.8684	11.0268	11.0015	10.9632	10.8209	
VDAC1	12.8576	12.6875	12.8091	12.5599	11.1177	12.6037	
SORBS3	8.1786	8.34015	7.1821	6.6827	6.80165	8.53365	
SPDEF	8.8159	8.2353	8.3357	8.3955	9.06465	8.02915	
ATF1	6.5735	8.0517	7.6875	7.7109	7.0066	6.6696	
SPAG4	5.6959	5.3594	5.5565	6.1298	5.5849	6.4664	
E2F2	5.0229	6.4038	5.3406	5.2898	6.3076	4.72955	
RHEB	13.4147	13.2378	13.2064	13.1013	13.3398	13.1168	
IGF1R	6.663	6.36665	7.1939	7.4958	7.2571	6.90115	
SLC5A6	5.5205	8.3469	6.4104	7.0386	5.96145	6.9993	
FOXO3	6.6149	6.8097	6.8462	7.2077	7.9309	7.30635	
RGS2	4.5159	6.11075	5.3902	7.0495	6.4972	6.8915	
GSTM2	4.8902	5.1333	5.1422	6.1518	6.53625	5.80685	
SCYL3	3.6904	5.00975	6.4263	5.3406	4.7469	4.8758	
RHOA	5.2142	6.0962	7.7488	7.4824	7.69365	7.22315	
TBX2	6.8312	6.13535	5.0345	4.7463	6.2904	4.5469	
DNAJA3	7.7125	11.2427	10.7238	10.9552	10.7705	11.4069	
IL1B	6.7498	4.46055	4.7721	5.3982	6.9864	4.643	
ASAH1	8.4583	8.6756	8.1909	7.5304	8.32615	8.57025	
DCUN1D4	7.4678	7.8562	8.0536	7.6543	8.124	7.1966	
DYRK3	6.3255	6.07885	6.5411	6.466	6.44675	6.61135	
RALA	9.5108	8.87825	8.9308	9.1777	9.52295	9.18335	
ARHGEF12	8.7828	8.4752	8.9959	8.5482	9.3426	9.1917	
POLG2	5.9782	8.20935	8.0641	7.8956	6.70145	7.85555	
SOX2	7.0553	7.5583	7.2088	6.4382	7.3301	6.97	
TRAPPC3	10.9421	9.163	11.1988	11.1353	11.3674	11.0833	
SERPINE1	8.2189	9.5894	10.7108	10.1441	6.49135	9.92305	
TCFL5	10.7379	7.2274	6.8757	6.9062	6.99695	6.3829	
CRK	8.9234	8.6796	9.4367	9.5132	9.1308	9.51775	
HLA-DMA	5.3629	6.07315	5.6957	6.2229	7.30795	6.2972	
EGF	5.1536	5.48785	4.8658	4.9746	5.24225	5.38545	
RBM34	10.8558	10.7286	10.356	11.0479	9.49675	10.5567	
ITGB1BP1	10.8487	10.8301	11.1079	10.9332	9.63785	10.7276	
SPTLC2	4.4662	4.0647	4.4125	4.6839	4.7014	4.4626	
ACLY	10.4117	11.5282	10.7983	10.7005	11.4137	10.8636	
APP	13.9438	13.4708	13.5807	13.7127	14.2907	13.7206	
RAD51C	7.274	6.51555	6.1064	6.5135	6.66635	6.5519	
TSKU	6.279	7.073	6.7805	7.2211	7.79745	6.67675	
SMC1A	11.0396	9.86325	10.532	10.3377	9.77445	9.4743	
TMEM2	4.884	6.25245	6.3155	6.5004	7.1628	6.61545	
NOS3	7.2914	4.6824	5.7426	5.076	6.70315	5.30685	
YME1L1	6.4706	8.71015	8.5575	8.5808	7.9079	8.72355	
ACAA1	7.6342	6.0134	7.2226	7.4471	6.33845	7.4074	
CSNK1A1	8.3272	9.0863	8.8376	8.9327	9.13735	8.80705	
HSPA8	8.145	9.2824	9.3528	9.0717	6.9726	9.3385	
NFATC4	6.0361	5.92085	4.8658	5.1172	6.7252	5.0472	
CCNB1	12.9202	12.5849	12.6616	12.3986	12.2884	12.5127	
TBP	8.4078	9.53545	9.4629	9.3106	9.10445	9.01335	
SLC2A6	9.9931	10.1382	10.4939	10.7336	11.6427	10.3624	
WFS1	6.3299	7.57665	7.6637	7.4338	7.7705	7.686	
EZH2	6.0138	8.05875	9.1173	8.6034	7.25745	8.5815	
UBE3B	8.2591	7.60495	8.4945	8.795	7.98	8.66195	
ICAM3	6.1234	5.5145	5.8491	5.5443	6.01395	5.46645	
NPDC1	5.2357	7.9476	8.2738	8.4326	8.20055	8.1967	
ALDH7A1	5.2486	8.1155	6.3559	7.6033	7.70705	7.7602	
BRCA1	5.8565	5.82845	6.6704	4.6696	4.0597	4.5904	
NFATC3	7.1144	6.8496	6.3681	6.1905	8.47085	6.4075	
PSMD4	11.7986	12.041	11.6021	11.8975	10.8295	11.8101	
PCNA	5.8565	13.6033	13.7127	13.2064	11.1872	12.7613	
PHKG2	7.3596	6.6045	6.3561	6.3765	6.58085	6.077	
ETV1	6.3913	8.06835	8.4205	8.6971	8.18335	9.8001	
POLR2I	10.4377	9.3848	10.1247	9.9196	9.33745	8.9879	
KDM5B	7.7542	5.2243	5.9451	5.904	5.589	5.47535	
PSMB8	6.8655	10.4544	10.2455	10.2861	10.4447	10.2656	
AKAP8L	7.4148	6.38285	6.2099	7.3344	5.93885	7.0502	
COG4	6.6576	7.01565	7.6971	7.6766	7.96655	7.65695	
MCM3	11.3304	12.0842	12.3008	11.5502	9.612	10.993	
PLEKHJ1	9.2448	8.9751	9.1196	8.1255	7.617	8.53505	
HAT1	9.4009	7.8611	9.1707	8.8065	6.7455	8.35845	
TERT	6.1222	6.18145	5.9191	5.9458	6.7639	5.8542	
G3BP1	7.1486	11.0573	10.833	10.4524	7.6021	10.0566	
SNX13	8.1036	6.8283	6.988	6.988	7.805	7.29975	
PAK4	6.1356	8.41275	9.1914	8.2882	8.8397	8.4694	
TPD52L2	9.2021	8.82545	8.5221	9.298	8.05095	9.41215	
DPH2	8.0475	7.9267	7.5568	7.4269	6.5135	7.2895	
PIH1D1	7.3018	8.0066	8.7283	8.9683	10.0585	8.8432	
PRKCQ	7.2322	5.6005	4.8258	5.7241	8.71575	5.31845	
SNX6	8.975	9.8885	9.6102	9.7585	9.28335	9.64625	
EED	7.7615	8.32155	8.6403	8.625	8.20315	8.4349	
SHB	8.8998	7.1705	7.8043	7.3613	6.7834	7.3658	
UTP14A	7.479	7.5817	8.6879	7.8366	6.87005	7.58845	
WIPF2	8.4366	8.396	8.1475	8.6183	8.77385	8.79175	
NENF	8.8956	10.7519	10.851	11.1704	9.69115	10.8624	
