gene	3hr	24hr	
PSME1	nan	11.9526	
CISD1	nan	11.7236	
VDAC1	nan	8.0333	
SORBS3	nan	8.2351	
SPDEF	nan	9.7004	
ATF1	nan	7.6203	
SPAG4	nan	5.9891	
E2F2	nan	4.4985	
RHEB	nan	11.9047	
IGF1R	nan	4.4877	
SLC5A6	nan	7.7482	
FOXO3	nan	6.4923	
RGS2	nan	11.1319	
GSTM2	nan	5.3683	
SCYL3	nan	4.3902	
RHOA	nan	9.3	
TBX2	nan	4.2713	
DNAJA3	nan	12.5619	
IL1B	nan	9.508	
ASAH1	nan	7.8651	
DCUN1D4	nan	8.6024	
DYRK3	nan	5.8575	
RALA	nan	8.3601	
ARHGEF12	nan	5.4053	
POLG2	nan	6.4652	
SOX2	nan	5.3389	
TRAPPC3	nan	11.3037	
SERPINE1	nan	5.6473	
TCFL5	nan	5.5956	
CRK	nan	8.3841	
HLA-DMA	nan	4.6606	
EGF	nan	5.5378	
RBM34	nan	9.2753	
ITGB1BP1	nan	10.0674	
SPTLC2	nan	4.9705	
ACLY	nan	9.593	
APP	nan	13.0446	
RAD51C	nan	8.4758	
TSKU	nan	5.0156	
SMC1A	nan	8.0211	
TMEM2	nan	5.9719	
NOS3	nan	4.7516	
YME1L1	nan	8.921	
ACAA1	nan	8.561	
CSNK1A1	nan	9.4869	
HSPA8	nan	11.1674	
NFATC4	nan	5.5217	
CCNB1	nan	12.0323	
TBP	nan	8.0506	
SLC2A6	nan	9.3504	
WFS1	nan	7.8886	
EZH2	nan	8.9553	
UBE3B	nan	7.9158	
ICAM3	nan	8.1055	
NPDC1	nan	8.9206	
ALDH7A1	nan	8.4602	
BRCA1	nan	5.7767	
NFATC3	nan	10.2066	
PSMD4	nan	10.5489	
PCNA	nan	13.5781	
PHKG2	nan	6.988	
ETV1	nan	7.3096	
POLR2I	nan	9.8888	
KDM5B	nan	5.4519	
PSMB8	nan	8.3458	
AKAP8L	nan	7.2947	
COG4	nan	7.781	
MCM3	nan	10.8498	
PLEKHJ1	nan	9.015	
HAT1	nan	10.0174	
TERT	nan	6.1683	
G3BP1	nan	10.593	
SNX13	nan	7.8505	
PAK4	nan	7.7537	
TPD52L2	nan	8.4466	
DPH2	nan	7.7418	
PIH1D1	nan	8.9336	
PRKCQ	nan	4.8719	
SNX6	nan	10.1037	
EED	nan	7.9671	
SHB	nan	7.4536	
UTP14A	nan	7.7629	
WIPF2	nan	8.2153	
NENF	nan	11.7155	
TSEN2	nan	9.7595	
RPN1	nan	12.3937	
SUV39H1	nan	8.261	
C2CD2L	nan	6.066	
LYPLA1	nan	9.0458	
BIRC2	nan	8.5877	
GABPB1	nan	8.4244	
MAP2K5	nan	7.0469	
POLR2K	nan	11.5729	
PTK2B	nan	6.8399	
PUF60	nan	13.0867	
DHRS7	nan	12.5383	
PAF1	nan	8.0044	
ARID5B	nan	8.8613	
POLR1C	nan	9.3149	
PAK1	nan	5.6787	
RUVBL1	nan	10.6954	
AKT1	nan	10.4638	
CDC42	nan	11.7416	
IGHMBP2	nan	5.9513	
SENP6	nan	8.2183	
ADO	nan	9.5486	
HSPB1	nan	12.4935	
EBP	nan	9.6628	
TCTN1	nan	7.185	
AKR7A2	nan	10.2555	
CASK	nan	7.5712	
PPP2R5E	nan	9.9786	
RRP8	nan	6.2637	
LAMA3	nan	8.9	
PIK3C3	nan	7.7852	
BHLHE40	nan	6.3792	
CCNE2	nan	7.4089	
BDH1	nan	6.0213	
FEZ2	nan	7.1276	
IKBKAP	nan	8.9963	
SH3BP5	nan	7.7353	
PPP2R5A	nan	10.3931	
SGCB	nan	8.4088	
EML3	nan	7.3096	
ENOPH1	nan	10.6324	
BIRC5	nan	13.167	
CNOT4	nan	5.9746	
EPRS	nan	11.5381	
SNAP25	nan	3.6286	
JMJD6	nan	11.4444	
PAX8	nan	4.7771	
CBLB	nan	6.4735	
SLC35F2	nan	11.1166	
ANO10	nan	8.0373	
PDS5A	nan	8.6959	
DFFB	nan	6.9281	
STUB1	nan	12.399	
PGAM1	nan	12.3561	
TGFB3	nan	5.1221	
BAD	nan	10.892	
XBP1	nan	7.4334	
NMT1	nan	8.3086	
PSMD10	nan	9.9654	
ARFIP2	nan	9.9227	
RAB11FIP2	nan	6.3676	
FPGS	nan	8.5706	
STAMBP	nan	9.1026	
PRKX	nan	6.6803	
RNH1	nan	10.6517	
ATG3	nan	9.6927	
FAH	nan	8.3649	
NCK1	nan	10.2291	
PLP2	nan	9.3875	
CFLAR	nan	6.6669	
SOX4	nan	7.686	
HEATR1	nan	9.1858	
TESK1	nan	8.3086	
HN1L	nan	8.6737	
WDR7	nan	6.3349	
AKAP8	nan	7.9014	
RRAGA	nan	8.2879	
ELOVL6	nan	7.0535	
SLC1A4	nan	3.899	
ACBD3	nan	7.6029	
GRWD1	nan	7.1876	
PMAIP1	nan	7.2289	
STAT1	nan	8.651	
FOXJ3	nan	8.6192	
TWF2	nan	10.5945	
HDAC6	nan	7.9501	
MTERFD1	nan	11.7797	
CCND1	nan	7.7249	
CHIC2	nan	9.1665	
PXN	nan	13.1249	
USP7	nan	6.9295	
