gene	0.04uM	0.12uM	0.37uM	1.11uM	10uM	3.33uM	
PSME1	11.811	11.516	11.8477	11.9526	11.9355	11.5	
CISD1	11.5	11.8357	12.0819	11.7236	11.8511	11.7105	
VDAC1	6.4766	6.4576	7.7072	8.0333	7.9051	7.0299	
SORBS3	8.6683	8.4241	8.3224	8.2351	8.2704	7.408	
SPDEF	9.4563	9.5695	9.7	9.7004	10.2784	9.9576	
ATF1	7.901	7.6452	7.8278	7.6203	7.0902	6.9809	
SPAG4	6.3873	6.0873	5.8905	5.9891	7.0047	5.6227	
E2F2	7.7488	4.4877	4.1253	4.4985	4.2713	4.6709	
RHEB	11.8293	12.0667	11.9357	11.9047	11.9203	12.1369	
IGF1R	4.7037	4.5669	4.4107	4.4877	4.322	4.8357	
SLC5A6	8.0447	8.1111	7.9447	7.7482	7.7309	7.1864	
FOXO3	6.6139	6.2371	6.0021	6.4923	6.6289	6.6669	
RGS2	13.0867	11.3411	11.4695	11.1319	11.4503	11.1457	
GSTM2	6.8818	5.2824	5.2824	5.3683	5.6059	4.9284	
SCYL3	5.7825	5.0796	4.4424	4.3902	4.6117	4.6709	
RHOA	10.2779	9.1921	9.3423	9.3	9.6823	8.5683	
TBX2	4.8406	4.3476	4.2026	4.2713	4.6117	4.3552	
DNAJA3	11.5978	12.8009	12.3614	12.5619	12.968	12.5107	
IL1B	7.8391	9.2225	9.006	9.508	10.8064	9.2809	
ASAH1	6.6335	6.408	7.3691	7.8651	7.6788	6.9116	
DCUN1D4	8.2937	8.7501	8.6959	8.6024	8.4304	8.3537	
DYRK3	6.6518	7.7337	5.7767	5.8575	5.655	8.4241	
RALA	8.763	8.4838	8.3575	8.3601	8.1297	8.064	
ARHGEF12	5.1221	6.8321	7.0353	5.4053	7.1262	5.4675	
POLG2	7.6547	7.8243	7.6302	6.4652	6.8081	6.8128	
SOX2	6.164	5.1324	5.1912	5.3389	5.4526	6.5635	
TRAPPC3	10.9794	11.0099	10.9642	11.3037	10.8951	11.2138	
SERPINE1	6.1136	5.631	5.9208	5.6473	5.6393	5.1376	
TCFL5	4.7044	6.1082	5.2297	5.5956	4.2205	5.164	
CRK	8.471	8.5928	8.4173	8.3841	8.589	8.58	
HLA-DMA	9.0039	4.5363	4.3725	4.6606	4.3195	4.9095	
EGF	6.0391	5.6227	5.354	5.5378	5.2612	5.911	
RBM34	5.2447	8.6634	9.3145	9.2753	9.2609	9.3027	
ITGB1BP1	9.9694	9.9297	9.7104	10.0674	9.4642	9.4986	
SPTLC2	4.939	4.8095	4.9901	4.9705	5.0291	4.4186	
ACLY	9.5075	9.4087	9.7764	9.593	10.8115	8.8628	
APP	12.8543	13.0064	13.0446	13.0446	13.1566	12.9653	
RAD51C	8.1346	7.7833	7.9815	8.4758	7.2274	8.0113	
TSKU	9.9971	5.2564	5.2447	5.0156	6.2751	4.6944	
SMC1A	9.1538	8.5354	5.7333	8.0211	7.9536	8.8712	
TMEM2	6.9339	6.5467	5.8096	5.9719	5.4718	5.7336	
NOS3	4.4107	4.7771	4.3682	4.7516	4.1541	5.3148	
YME1L1	11.0201	9.5958	8.9062	8.921	9.053	8.8803	
ACAA1	7.113	7.2854	8.4713	8.561	8.1553	8.1696	
CSNK1A1	9.0461	9.4935	9.6927	9.4869	9.9159	9.3213	
HSPA8	10.7525	11.2772	11.8293	11.1674	11.5315	10.7603	
NFATC4	5.1715	5.407	5.5864	5.5217	5.83	5.3184	
CCNB1	12.1165	12.4342	12.3009	12.0323	12.0667	12.0511	
TBP	7.2165	7.4392	7.9421	8.0506	7.7072	7.9921	
SLC2A6	9.561	9.4744	9.4145	9.3504	10.2507	9.8174	
WFS1	7.8781	7.9802	7.8148	7.8886	7.6547	8.4691	
EZH2	8.7121	9.2373	8.7655	8.9553	8.2343	8.7244	
UBE3B	7.263	7.8425	7.937	7.9158	7.6371	7.8277	
ICAM3	7.4565	8.1269	8.6046	8.1055	9.1956	7.4565	
NPDC1	7.7746	8.5808	8.9621	8.9206	8.9624	8.5139	
ALDH7A1	8.2764	8.8002	8.4882	8.4602	8.4787	8.6982	
BRCA1	4.5359	5.4211	5.8222	5.7767	4.8186	5.1082	
NFATC3	9.844	10.3482	11.1539	10.2066	11.4926	10.0526	
PSMD4	9.6485	10.3219	11.144	10.5489	11.5259	10.0367	
PCNA	13.3866	13.5463	13.5463	13.5781	13.59	13.5463	
PHKG2	6.922	6.988	6.9179	6.988	6.7265	7.6811	
ETV1	10.1113	7.0697	7.1496	7.3096	7.4939	7.1677	
POLR2I	9.8888	9.9024	9.9426	9.8888	9.5269	9.4968	
KDM5B	7.1024	5.8957	5.2164	5.4519	5.497	5.9243	
PSMB8	7.2995	8.1786	8.4171	8.3458	8.3948	8.7997	
