gene	3hr	24hr	
PSME1	11.6294	11.6142	
CISD1	11.9228	11.605	
VDAC1	11.4389	12.2304	
SORBS3	5.8682	5.6489	
SPDEF	9.9454	10.8263	
ATF1	8.23	7.3257	
SPAG4	6.3752	6.9147	
E2F2	4.986	5.216	
RHEB	12.3626	12.746	
IGF1R	5.5718	5.8979	
SLC5A6	11.6159	11.7737	
FOXO3	6.5347	6.8533	
RGS2	5.2077	4.7717	
GSTM2	5.5351	6.0556	
SCYL3	4.595	4.9958	
RHOA	8.671	8.4626	
TBX2	4.641	5.3987	
DNAJA3	12.7109	12.9447	
IL1B	5.4487	5.3171	
ASAH1	9.576	10.5224	
DCUN1D4	7.7838	7.5426	
DYRK3	5.6589	5.2356	
RALA	8.7978	8.8439	
ARHGEF12	8.6911	8.2166	
POLG2	8.1107	7.4911	
SOX2	6.92	6.456	
TRAPPC3	9.5337	10.0861	
SERPINE1	6.3086	6.4778	
TCFL5	4.4921	5.1842	
CRK	8.5309	8.3327	
HLA-DMA	4.6328	5.0728	
EGF	5.6039	5.4494	
RBM34	9.8939	9.8942	
ITGB1BP1	9.3371	9.2287	
SPTLC2	6.3001	6.0236	
ACLY	12.2174	11.8593	
APP	13.6458	14.1746	
RAD51C	4.9225	5.4094	
TSKU	5.7419	6.0867	
SMC1A	9.6372	9.9463	
TMEM2	7.2503	6.7798	
NOS3	5.3643	5.6976	
YME1L1	8.7431	8.9938	
ACAA1	10.7802	10.943	
CSNK1A1	9.3659	9.5871	
HSPA8	11.0691	11.4029	
NFATC4	5.6967	5.2108	
CCNB1	11.6288	12.0195	
TBP	7.8923	8.3936	
SLC2A6	7.9163	8.6423	
WFS1	6.7196	6.7922	
EZH2	9.0683	9.1842	
UBE3B	9.6028	8.5359	
ICAM3	6.9869	6.9798	
NPDC1	10.7661	10.7073	
ALDH7A1	7.6046	7.5294	
BRCA1	4.4766	4.3574	
NFATC3	7.3096	7.1526	
PSMD4	11.8426	12.1021	
PCNA	14.4353	14.8354	
PHKG2	7.6268	7.6174	
ETV1	4.9145	4.8857	
POLR2I	11.0434	10.9125	
KDM5B	5.3872	5.1616	
PSMB8	7.8156	8.4122	
AKAP8L	7.0134	7.7371	
COG4	7.5786	7.0908	
MCM3	10.8158	10.805	
PLEKHJ1	8.8243	9.3636	
HAT1	8.3664	8.5609	
TERT	5.9238	6.2401	
G3BP1	11.2224	10.5888	
SNX13	8.515	8.2618	
PAK4	9.0448	9.1791	
TPD52L2	9.282	9.922	
DPH2	8.7006	8.6151	
PIH1D1	7.6634	7.8118	
PRKCQ	5.1348	5.1353	
SNX6	9.2835	9.7916	
EED	8.336	8.1856	
SHB	7.9844	7.3711	
UTP14A	8.2038	8.0576	
WIPF2	10.7487	10.8952	
NENF	10.7675	10.7058	
TSEN2	7.2266	7.8195	
RPN1	12.5609	12.7056	
SUV39H1	7.3707	7.7026	
C2CD2L	5.8629	6.4697	
LYPLA1	9.7917	9.2857	
BIRC2	7.6624	7.7066	
GABPB1	9.0443	8.5668	
MAP2K5	6.5411	7.1488	
POLR2K	9.1908	9.0493	
PTK2B	7.0724	7.2739	
PUF60	12.514	12.6133	
DHRS7	10.1267	10.4357	
PAF1	9.3616	9.2768	
ARID5B	6.9404	7.316	
POLR1C	8.5668	8.3719	
PAK1	5.0084	5.437	
RUVBL1	9.8026	10.5683	
AKT1	10.9374	10.8747	
CDC42	10.0436	10.1632	
IGHMBP2	6.4484	5.9454	
SENP6	9.2375	9.4437	
ADO	7.1272	7.2844	
HSPB1	12.9966	13.5326	
EBP	9.4742	8.534	
TCTN1	5.8169	8.763	
AKR7A2	9.6481	9.8008	
