gene	0.04uM	0.12uM	0.37uM	1.11uM	10uM	3.33uM	
PSME1	11.5003	11.578	11.8813	11.6142	11.1928	11.5216	
CISD1	11.4876	12.0411	11.8156	11.605	11.8566	11.5942	
VDAC1	12.2304	11.4451	11.8224	12.2304	12.1279	12.1292	
SORBS3	5.3306	5.1168	5.5185	5.6489	5.6945	5.5472	
SPDEF	10.8039	10.8872	10.8408	10.8263	10.8301	10.8108	
ATF1	7.0003	7.0551	7.2911	7.3257	6.3503	7.0356	
SPAG4	4.0465	6.6056	4.0465	6.9147	5.437	5.9173	
E2F2	5.5595	5.6707	4.7209	5.216	4.6525	4.7668	
RHEB	12.5363	12.5011	12.293	12.746	12.4373	12.6137	
IGF1R	5.5099	5.7768	5.855	5.8979	6.037	5.6101	
SLC5A6	11.3256	11.7061	11.9601	11.7737	11.3191	11.9912	
FOXO3	6.7813	6.9022	6.8893	6.8533	7.0003	6.7566	
RGS2	5.3863	5.3103	5.745	4.7717	4.3765	5.2026	
GSTM2	5.552	5.552	5.8572	6.0556	5.8413	6.1825	
SCYL3	4.9192	5.1845	4.9458	4.9958	4.7209	4.9939	
RHOA	7.8078	7.5318	7.8221	8.4626	6.9287	8.4207	
TBX2	4.7287	5.5993	4.608	5.3987	4.7582	4.968	
DNAJA3	14.187	13.4513	13.1067	12.9447	14.0083	13.6576	
IL1B	6.1119	6.6288	5.4494	5.3171	6.749	6.0731	
ASAH1	9.1444	9.2817	9.8098	10.5224	9.6049	9.631	
DCUN1D4	7.9656	7.9814	7.7236	7.5426	7.8282	7.3853	
DYRK3	6.655	6.3093	6.07	5.2356	6.6147	5.8272	
RALA	8.8629	8.5996	8.38	8.8439	9.0674	8.6151	
ARHGEF12	8.5987	8.4021	7.6284	8.2166	8.3172	8.6009	
POLG2	7.7104	6.9903	8.2932	7.4911	7.6103	6.8474	
SOX2	8.6663	8.9814	7.3404	6.456	8.806	7.3472	
TRAPPC3	9.5771	8.0905	9.558	10.0861	9.6461	9.6702	
SERPINE1	5.9454	6.3953	6.3993	6.4778	4.7489	5.4696	
TCFL5	4.5125	5.3907	4.3529	5.1842	3.5939	6.5115	
